race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,148,CharleCOURNOYER,8063,CAN,1:27.413,QA
0,2,2,,11,SEOYiRa,7940,KOR,1:27.435,QA
0,3,3,,20,FreekvanderWART,7269,NED,1:27.686,QB
0,4,4,,48,ShaoangLIU,8564,HUN,1:35.071,QB
0,5,5,,164,PARKJiWon,8765,KOR,1:39.949,
1,1,3,,45,KWAKYoon-Gy,6120,KOR,1:28.632,QA
1,2,1,,7,SHIJingnan,7728,CHN,1:29.016,QA
1,3,5,,150,XUFu,8386,CHN,1:29.390,QB
1,4,4,,160,YOSHINAGAKazuki,8745,JPN,1:29.513,QB
1,PEN,2,,25,NurbergenZHUMAGAZIYEV,7349,KAZ,PEN,
