race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,40,AnnaSEIDEL,8562,GER,45.146,Q
0,2,2,,110,CHOIJiHyun,7711,KOR,45.256,Q
0,3,1,,52,MALAGICHEmina,7989,RUS,45.810,
0,4,4,,84,LouiseMILESI,8668,FRA,47.182,
0,PEN,5,,96,DOLGOPOLOVAMariya,8096,UKR,PEN,
1,1,3,,8,PROSVIRNOVASofia,8509,RUS,44.266,Q
1,2,1,,61,LuciaPERETTI,7160,ITA,44.404,Q
1,3,5,,55,NOHDoHee,7986,KOR,45.040,
1,4,4,,79,KatherineRALSTON,7991,USA,45.239,
1,5,2,,120,UZAKOVAMariia-Mahdalyna,8759,UKR,48.215,
2,1,4,,20,vanRUIJVENLara,7710,NED,44.469,Q
2,2,1,,7,KimBOUTIN,8542,CAN,44.641,Q
2,3,2,,117,CeciliaMAFFEI,6559,ITA,45.558,
2,4,3,,113,STORMOWSKAKamila,9008,POL,46.786,
3,1,4,,10,HANYuTong,8365,CHN,44.071,Q
3,2,1,,1,CHOIMinJeong,8625,KOR,44.075,Q
3,3,3,,108,PatriciaTOTH,7535,HUN,45.688,
3,4,2,,109,KAMINAGAShione,8743,JPN,45.705,
3,5,5,,91,LexiBURKHOLDER,7992,USA,47.174,
4,1,3,,101,AudreyPHANEUF,8360,CAN,44.387,Q
4,2,2,,26,CharlotteGILMARTIN,7136,GBR,44.459,Q
4,3,1,,104,SelmaPOUTSMA,9004,FRA,44.590,
4,4,4,,111,RozaKOOYSTRA,8495,NED,45.484,
5,2,1,,48,KONSTANTINOVAEkaterina,8510,RUS,44.175,Q
5,3,4,,83,KIKUCHISumire,7980,JPN,44.798,
5,4,3,,112,MonikaGRZADKOWSKA,9007,POL,46.644,
5,PEN,2,,23,BernadettHEIDUM,6798,HUN,PEN,
6,1,3,,5,FANKexin,7694,CHN,44.315,Q
6,2,4,,81,SCHULTINGSuzanne,8493,NED,44.451,Q
6,3,1,,82,MONVOISINAurelie,8556,FRA,44.699,
6,4,2,,62,HitomiSAITO,7576,JPN,46.527,
6,5,5,,116,JerebelleYUTANGCO,9011,USA,48.934,
