season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,1,1,1,,125,MAWei,8728,CHN,41.139,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,1,2,3,,143,ShaoangLIU,8564,HUN,41.682,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,1,3,2,,159,ZHAXYBAYEVMersaid,8623,KAZ,42.349,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,1,4,4,,149,MarkCHONG,9109,ITA,43.299,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,2,1,2,,122,MaximeLAOUN,8599,CAN,41.770,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,2,2,3,,186,AYRAPETYANDenis,8098,RUS,41.829,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,2,3,1,,161,KIMSiUn,8626,KOR,42.175,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,2,4,4,,111,PETREWard,8708,BEL,42.626,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,3,1,2,,121,DUBOISSteven,9092,CAN,41.204,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,3,2,3,,127,XUHongzhi,8070,CHN,41.266,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,3,3,4,,163,LIMYongJin,8767,KOR,41.282,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,3,4,1,,188,ArtemKOZLOV,8638,RUS,41.497,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,4,1,3,,123,Marc-OlivierLEMAY,9093,CAN,41.776,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,4,3,1,,187,EYBOGDaniil,8661,RUS,42.108,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,500m,m,Quarterfinals,4,4,4,,110,DESMETStijn,8706,BEL,42.279,,
