race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,60,LEEJungSu,7266,KOR,1:25.352,Q
0,2,4,,65,ThibautFAUCONNET,6785,FRA,1:25.829,Q
0,3,3,,105,BillySIMMS,7926,GBR,1:26.346,
0,4,6,,96,OLAHBence,7439,HUN,1:27.148,ADV
0,5,1,,152,SeanMcANUFF,9198,IRL,1:28.272,
0,PEN,5,,161,AYRAPETYANDenis,8098,RUS,PEN,
1,1,2,,86,BREEUWSMADaan,7218,NED,1:25.092,Q
1,2,3,,75,RuslanZAKHAROV,6935,RUS,1:25.199,Q
1,3,6,,175,PIVIROTTORyan,8650,USA,1:25.322,
1,4,4,,10,SHIJingnan,7728,CHN,1:25.729,
1,5,5,,48,ANDERMANNDominic,8078,AUT,1:28.148,
1,DNS,1,,142,GOEMINNEGert-Jan,8707,BEL,DNS,
2,1,3,,90,WATANABEKeita,7605,JPN,1:30.514,Q
2,2,6,,6,WUDajing,7729,CHN,1:30.650,Q
2,3,2,,40,VincentJEANNE,7890,FRA,1:31.950,
2,4,4,,147,ANDERMANNNico,8720,AUT,1:33.208,
2,5,1,,115,DavutTAHTACI,8647,TUR,1:33.608,
2,PEN,5,,173,HANDEIOleh,9073,UKR,PEN,
3,1,3,,5,ShaoangLIU,8564,HUN,1:26.208,Q
3,2,6,,149,ThibaultCROLET,7920,FRA,1:27.759,Q
3,3,2,,111,EinarAGDESTEIN,8701,NOR,1:28.771,
3,4,1,,43,DOTTITommaso,7604,ITA,1:35.244,ADV
3,PEN,5,,29,JUNGHyunWoo(Andy),8575,AUS,PEN,
3,PEN,4,,154,SHAMUKHANOVYerkebulan,8672,KAZ,PEN,
4,1,4,,53,CharleCOURNOYER,8063,CAN,1:25.073,Q
4,2,5,,84,CASSINELLIAndrea,7741,ITA,1:25.398,Q
4,3,1,,143,JacobJANSSON,8589,SWE,1:25.485,
4,4,2,,80,JoshuaCHEETHAM,7925,GBR,1:28.076,
4,5,3,,49,HANDEIVolodymyr,8525,UKR,notime,
5,1,3,,158,LIMKyoungWon,9191,KOR,1:26.425,Q
5,2,5,,28,DennisVISSER,8498,NED,1:26.577,Q
5,3,6,,101,AydarBEKZHANOV,7623,KAZ,1:26.658,
5,4,2,,30,FelixSPIEGL,7923,GER,1:26.926,
5,5,4,,35,PierreBODA,7588,AUS,1:27.748,
5,6,1,,172,HazarKARAGOL,9009,TUR,1:32.214,
6,1,2,,7,SamuelGIRARD,8600,CAN,1:25.739,Q
6,2,1,,180,ANKai,9168,CHN,1:26.279,Q
6,3,6,,174,AdamCALLISTER,7954,USA,1:26.354,
6,4,3,,92,ZHAXYBAYEVMersaid,8623,KAZ,1:26.688,
6,5,4,,26,MenderesEREN,8351,TUR,1:30.727,
6,PEN,5,,74,HirokiYOKOYAMA,7932,JPN,PEN,
7,1,2,,159,SINdaWoon,8035,KOR,1:25.131,Q
7,2,3,,32,YOSHINAGAKazuki,8745,JPN,1:25.251,Q
7,3,6,,27,ViktorKNOCH,6177,HUN,1:25.633,
7,4,5,,94,NicolaRODIGARI,6332,ITA,1:26.601,
7,5,1,,120,VANHOORENRino,8721,BEL,1:28.252,
7,6,4,,145,LukeCULLEN,9194,AUS,1:39.274,
8,1,1,,31,deLAATItzhak,7746,NED,1:28.542,Q
8,2,4,,81,TREACYFarrell,8392,GBR,1:29.425,Q
8,3,5,,38,LucasNG,8067,SGP,1:31.386,
8,4,2,,2,HAMELINCharles,6610,CAN,1:56.750,ADV
8,5,3,,144,VictorAN,8344,RUS,notime,
