race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,6,,5,SCHULTINGSuzanne,8493,NED,1:32.779,QA
0,2,1,,14,ValerieMALTAIS,6216,CAN,1:32.903,QA
0,3,5,,149,LEESoYoun,8436,KOR,1:32.972,QB
0,4,3,,141,ZHANGQichao,7413,CHN,1:33.132,QB
0,5,2,,42,JamieMACDONALD,8997,CAN,1:33.342,
0,6,4,,148,KIMYeJin,9310,KOR,1:33.650,
1,1,1,,2,MarianneST-GELAIS,7216,CAN,1:31.005,QA
1,2,5,,24,DeannaLOCKETT,7956,AUS,1:32.344,QA
1,3,3,,117,MASCITTOCynthia,9193,ITA,1:35.666,QB
1,4,2,,127,HANYuTong,8365,CHN,2:32.524,ADA
1,PEN,4,,134,YuliaSHISHKINA,8680,RUS,PEN,
1,PEN,6,,151,AHNSeJung,7985,KOR,PEN,
