race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,2,MarianneST-GELAIS,7216,CAN,1:30.859,Q
0,2,4,,14,ValerieMALTAIS,6216,CAN,1:31.397,Q
0,3,2,,16,HitomiSAITO,7576,JPN,1:31.628,q
0,4,3,,72,THOMSONKathryn,8465,GBR,1:31.812,
0,5,5,,64,KIKUCHISumire,7980,JPN,1:32.592,
1,1,3,,1,CHOIMinJeong,8625,KOR,1:31.656,Q
1,2,1,,96,EFREMENKOVAEkaterina,8750,RUS,1:31.739,Q
1,3,4,,8,KasandraBRADETTE,8058,CAN,1:31.960,
1,4,5,,123,IongAKIM,9192,KAZ,1:31.988,
1,5,2,,57,WATANABEAoi,8744,JPN,1:32.094,
2,1,1,,6,GUOYihan,8364,CHN,1:30.896,Q
2,2,4,,40,ZANGYize,8725,CHN,1:31.068,Q
2,3,5,,47,TatianaBORODULINA,7483,RUS,1:31.744,q
2,4,2,,60,KONSTANTINOVAEkaterina,8510,RUS,1:31.884,
2,5,3,,51,deVRIESRianne,8333,NED,1:31.961,
3,1,3,,120,KIMJiYoo,8764,KOR,1:32.357,Q
3,2,4,,7,QUChunyu,8071,CHN,1:33.339,Q
3,3,5,,117,MASCITTOCynthia,9193,ITA,1:33.432,
3,4,1,,22,PIERRONVeronique,6196,FRA,1:33.630,
3,5,2,,18,BACSKAISaraLuca,8609,HUN,1:33.776,
