race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,6,CHOIMinJeong,8625,KOR,2:27.131,Q
0,2,4,,141,JorienterMORS,6146,NED,2:27.979,Q
0,3,3,,36,SEJPALOVA-HRUZOVAMichaela,8553,CZE,2:29.368,
0,4,6,,125,ZHANBUSINOVAMadina,9111,KAZ,2:29.630,
0,5,2,,89,KIKUCHIYuki,8669,JPN,2:29.841,ADV
0,6,7,,117,EvelienvanKERCKVOORDE,9216,BEL,2:35.302,
0,PEN,5,,31,MagdalenaWARAKOMSKA,8502,POL,PEN,
1,1,3,,134,LanaGEHRING,7254,USA,2:40.854,Q
1,2,6,,18,DeannaLOCKETT,7956,AUS,2:40.905,Q
1,2,1,,30,THOMSONKathryn,8465,GBR,2:40.905,Q
1,4,2,,35,LuciaPERETTI,7160,ITA,2:41.707,
1,5,4,,121,TinaGRASSOW,6855,GER,2:42.736,
1,6,5,,110,STORMOWSKAKamila,9008,POL,2:43.214,
1,7,7,,120,DAUDETGwendoline,9100,FRA,2:43.519,
2,1,3,,44,CharlotteGILMARTIN,7136,GBR,2:23.639,Q
2,2,4,,19,HUOTMARCHANDTifany,7976,FRA,2:24.450,Q
2,3,6,,79,ZAKHAROVAEvgeniya,7715,RUS,2:25.215,
2,4,7,,124,BernadettHEIDUM,6798,HUN,2:25.359,
2,5,5,,123,TALAYEVAVolha,6792,BLR,2:28.050,
2,6,1,,100,TundeBALAZS,7883,ROU,2:33.396,
2,7,2,,104,MYKHALCHUKDiana,7426,UKR,2:35.715,
3,1,7,,128,KIMAlang,8484,KOR,2:30.993,Q
3,2,2,,51,KAMINAGAShione,8743,JPN,2:31.149,Q
3,3,3,,15,KONSTANTINOVAEkaterina,8510,RUS,2:32.303,
3,4,6,,34,AnastassiyaKRESTOVA,7981,KAZ,2:32.467,
3,5,4,,77,MichaelaKUNCIROVA,8552,CZE,2:35.230,
3,6,5,,87,YAKIMOVAAnna,8702,BUL,2:41.759,
3,PEN,1,,7,SCHULTINGSuzanne,8493,NED,PEN,
4,1,7,,3,SHIMSukHee,8092,KOR,2:40.885,Q
4,2,6,,21,vanKERKHOFYara,7422,NED,2:41.164,Q
4,3,3,,33,MANOILOVAKatrin,8539,BUL,2:43.611,
4,4,1,,94,OliwiaGAWLICA,8501,POL,2:43.733,
4,5,2,,42,VeraTRYBUL,9161,BLR,2:43.954,
4,6,5,,37,AlicaPORUBSKA,8514,SVK,2:45.250,
4,7,4,,45,BURICKatarina,8550,CRO,2:45.427,
5,1,5,,9,AriannaFONTANA,6227,ITA,2:28.101,Q
5,2,3,,47,ValerieMALTAIS,6216,CAN,2:28.240,Q
5,3,2,,136,LIJinyu,9094,CHN,2:28.250,
5,4,1,,52,KONYAZsofia,7701,HUN,2:29.849,
5,5,4,,38,AgneSEREIKAITE,7708,LTU,2:30.785,
5,6,6,,40,ErikaLINDGREN,9210,SWE,2:42.725,
6,1,3,,11,PetraJASZAPATI,8611,HUN,2:28.523,Q
6,2,6,,20,WALTERBianca,7232,GER,2:29.490,Q
6,3,2,,25,DESMETHanne,8699,BEL,2:29.787,
6,4,1,,76,MariyaIZAFATAVA,8651,BLR,2:31.225,
6,5,5,,90,DOLGOPOLOVAMariya,8096,UKR,2:38.355,
6,6,4,,108,RanyaEZZI,6840,SWE,3:09.090,
7,1,5,,64,IongAKIM,9192,KAZ,2:32.344,Q
7,2,6,,16,JessicaKOOREMAN,7649,USA,2:32.500,Q
7,3,7,,32,KaterinaNOVOTNA,6647,CZE,2:34.420,
7,4,1,,143,ASCICValentina,8603,CRO,2:37.091,
7,5,3,,41,LINYu-Tzu,8087,TPE,2:37.150,
7,6,4,,63,EFREMENKOVAEkaterina,8750,RUS,3:06.148,ADV
7,PEN,2,,137,ZHOUYang,6222,CHN,PEN,
8,1,6,,48,HANYuTong,8365,CHN,2:47.176,Q
8,2,1,,59,JamieMACDONALD,8997,CAN,2:47.316,Q
8,3,3,,17,AnnaSEIDEL,8562,GER,2:47.794,
8,4,2,,135,BINEYMaame,9144,USA,2:48.244,
8,5,7,,118,DANNEELAlexandra,9320,BEL,2:51.998,
8,6,5,,46,CheyenneGOH,9291,SGP,2:54.714,
8,7,4,,116,IVANDICDanijela,9097,CRO,3:01.051,
9,1,1,,1,CHRISTIEElise,7135,GBR,2:22.220,Q
9,2,7,,24,KimBOUTIN,8542,CAN,2:23.292,Q
9,3,5,,27,KIKUCHISumire,7980,JPN,2:24.228,q
9,4,6,,26,PIERRONVeronique,6196,FRA,2:25.233,
9,5,2,,60,CeciliaMAFFEI,6559,ITA,2:26.159,
9,6,4,,43,UZAKOVAMariia-Mahdalyna,8759,UKR,2:34.405,
9,7,3,,112,PENCHEVAZornica,8461,BUL,2:36.286,
