season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,1,1,5,,190,PARKSeYeong,7750,KOR,1:25.949,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,1,2,2,,32,ThibautFAUCONNET,6785,FRA,1:26.229,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,1,3,1,,22,BYKANOVVladislav,6178,ISR,1:26.248,q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,1,4,4,,66,SHIJingnan,7728,CHN,1:26.370,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,1,5,3,,86,PIVIROTTORyan,8650,USA,1:28.009,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,2,1,3,,58,HWANGDaeHeon,9115,KOR,1:27.512,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,2,2,4,,6,WUDajing,7729,CHN,1:27.708,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,2,3,2,,48,TREACYFarrell,8392,GBR,1:27.783,q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,2,4,5,,76,AZHGALIYEVAbzal,7685,KAZ,1:27.837,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,2,5,1,,183,CsabaBURJAN,7738,HUN,1:29.722,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,3,1,1,,19,WATANABEKeita,7605,JPN,1:28.189,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,3,2,4,,107,BillySIMMS,7926,GBR,1:28.336,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,3,3,5,,10,ShaolinSandorLIU,7928,HUN,1:50.697,ADV
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,3,4,2,,12,SemenELISTRATOV,7293,RUS,notime,ADV
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,3,PEN,3,,128,LEPAPESebastien,7554,FRA,PEN,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,4,1,1,,44,John-HenryKRUEGER,7763,USA,1:26.393,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,4,2,5,,9,HANTianyu,8388,CHN,1:26.479,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,4,3,2,,7,VictorAN,8344,RUS,1:26.593,q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,4,4,4,,20,RyosukeSAKAZUME,7542,JPN,1:26.775,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,4,5,3,,27,DOTTITommaso,7604,ITA,1:26.872,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,5,1,1,,188,KWAKYoon-Gy,6120,KOR,1:26.490,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,5,2,3,,15,CharleCOURNOYER,8063,CAN,1:27.083,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,5,3,2,,41,NurbergenZHUMAGAZIYEV,7349,KAZ,1:27.363,q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,5,4,4,,25,NAVARROTristan,8559,FRA,1:27.734,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,5,5,5,,69,DennisVISSER,8498,NED,notime,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,6,1,1,,8,HAMELINCharles,6610,CAN,1:27.109,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,6,2,2,,73,YOSHINAGAKazuki,8745,JPN,1:27.482,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,6,3,4,,82,SHULGINOVAlexander,8752,RUS,1:27.594,q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,6,4,5,,21,NIKISHADenis,8396,KAZ,1:28.016,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,6,5,3,,47,SUJun-Peng,8643,TPE,1:29.178,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,7,1,5,,5,ShaoangLIU,8564,HUN,1:26.815,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,7,2,3,,3,SamuelGIRARD,8600,CAN,1:26.896,Q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,7,3,4,,13,J.R.CELSKI,7279,USA,1:26.982,q
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,7,4,2,,105,CONFORTOLAYuri,6561,ITA,1:27.044,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1000m,m,Heats,7,5,1,,23,RobertsZVEJNIEKS,8490,LAT,1:31.435,
