race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,3,,174,EMONSFriso,9276,NED,43.915,Q,
0,2,1,,147,AugustoDUZIONI,9399,ITA,44.215,Q,
0,3,5,,116,KaloyanANGELOV,9221,BUL,57.056,,
0,4,4,,194,BojanBAKA,9424,SRB,1:06.416,,
0,PEN,2,,165,KRUZBERGSKarlis,8629,LAT,PEN,,
1,1,4,,175,BramSTEENAART,9278,NED,43.262,Q,
1,2,1,,127,JanPOSAVEC,9234,CRO,47.196,Q,
1,3,3,,168,KHALILKhairilRidhwan,9271,MAS,48.422,,
1,4,5,,179,ANIKEJRafal,8749,POL,1:07.138,ADV,
1,YC,2,,143,AndrasSZIKLASI,9053,HUN,YC,,
2,1,2,,131,FERCOQQuentin,8605,FRA,42.597,Q,
2,2,5,,122,MarcoFritzSCHUMANN,9225,CAN,43.194,Q,
2,3,1,,150,LucaSPECHENHAUSER,9398,ITA,43.220,q,
2,4,4,,198,KanSOPONKIJ,9427,THA,47.701,,
2,5,3,,128,StriborSUMAN,9235,CRO,47.933,,
3,1,3,,154,YOSHINAGAKazuki,8745,JPN,42.936,Q,
3,2,1,,156,GALIAKHMETOVAdil,9260,KAZ,43.013,Q,
3,3,4,,164,ReinisBERZINS,9267,LAT,43.661,q,
3,4,2,,176,deROSEEthan,9281,NZL,44.290,,
3,5,5,,178,ADAMSKIPawel,9284,POL,1:07.448,,
4,1,3,,162,PARKJangHyuk,9368,KOR,42.303,Q,
4,2,1,,88,FurkanAKAR,9434,TUR,44.382,Q,
4,3,5,,112,ArtsemALIATDZINAU,9085,BLR,45.184,,
4,4,4,,196,DJORDJEVICJovan,9295,SRB,45.506,,
4,5,2,,141,CHUSidneyK,9056,HKG,46.265,,
5,1,3,,173,JasperBRUNSMANN,9122,NED,43.874,Q,
5,2,1,,155,NurlibekBEISEEV,8715,KAZ,44.012,Q,
5,3,5,,139,MoritzKREUSELER,9240,GER,45.343,,
5,4,4,,130,SEJPALZdenek,9336,CZE,46.169,,
5,5,2,,171,HazimSHAHRUM,9272,MAS,46.973,,
6,1,2,,187,MILOVANOVSergei,9289,RUS,43.150,Q,
6,2,5,,145,TIBORCZDaniel,9106,HUN,44.448,Q,
6,3,4,,193,BorLukaURLEP,8753,SLO,45.444,,
6,4,3,,118,GeorgiTSVETKOV,9222,BUL,49.668,,
6,PEN,1,,125,LINChun-Chieh,8756,TPE,PEN,,
7,1,1,,153,ShutaMATSUZU,9257,JPN,43.470,Q,
7,2,5,,103,JoshuaKAH,9214,AUS,44.010,Q,
7,3,4,,93,NEMIRONikita,9212,UKR,44.466,,
7,4,3,,123,LAIYi-Siang,9139,TPE,47.677,,
7,5,2,,106,Stefan-TeodorFRIGHENCIU,9444,AUT,50.500,,
8,1,1,,97,BrandonKIM,9303,USA,43.389,Q,
8,2,4,,158,SHAMUKHANOVYerkebulan,8672,KAZ,43.411,Q,
8,3,2,,92,HANDEIOleh,9073,UKR,43.673,q,
8,4,5,,111,MakKRSTIC,8597,BIH,51.594,,
8,5,3,,192,TrevorXuXuanTAN,9420,SGP,notime,,
9,1,4,,189,SITNIKOVPavel,9133,RUS,42.919,Q,
9,2,3,,121,AdrianRUDY,9384,CAN,44.001,Q,
9,3,2,,110,VOLCKAERTRobbe,9375,BEL,44.653,,
9,4,1,,104,LiamO'BRIEN,9163,AUS,44.988,,
10,1,5,,102,BLUNDENKeanu,8593,AUS,44.525,Q,
10,2,1,,124,LIAOWei-Cheng,9432,TPE,48.333,Q,
10,3,2,,177,MarcGONZALES,9409,PHI,48.421,,
10,4,4,,148,PietroMARINELLI,9249,ITA,1:02.292,,
10,5,3,,99,JonathanSO,9442,USA,1:02.778,,
11,1,2,,135,MOODYJonathan,9102,GBR,44.369,Q,
11,2,3,,180,MateuszKRZEMINSKI,9412,POL,44.441,Q,
11,3,5,,108,DEWAGTEREAdriaan,9376,BEL,44.943,,
11,4,4,,167,SalvijusRAMANAUSKAS,9119,LTU,45.051,,
11,5,1,,182,MohammedAL-HOURANI,9413,QAT,50.786,,
12,2,1,,134,CyprienVACHERON,8733,FRA,43.509,Q,
12,3,2,,151,RyutaINOUE,9256,JPN,43.626,q,
12,4,4,,91,DavutTAHTACI,8647,TUR,44.182,,
12,5,5,,190,ZenShengSianKOH,9421,SGP,48.376,,
13,1,5,,96,AaronHEO,9302,USA,44.779,Q,
13,2,2,,140,LucaLOEFFLER,9241,GER,45.002,Q,
13,3,3,,115,GeorgiORLOV,8460,BLR,45.208,,
13,4,1,,199,TriphopTHONGNGAM,9328,THA,46.386,,
13,5,4,,117,PetkoDAPCHEV,9380,BUL,52.548,,
14,1,3,,133,SELLIERDiane,9237,FRA,43.889,Q,
14,2,2,,166,KRUZBERGSRoberts,9117,LAT,44.811,Q,
14,3,5,,95,MykytaKHOCHYN,9438,UKR,47.541,,
14,4,4,,107,LIUHeinrich,9082,AUT,48.434,,
14,5,1,,169,M.A.I.BINMOHAMADFADZLI,9446,MAS,50.290,,
15,1,4,,160,LEEJuneSeo,9370,KOR,42.334,Q,
15,2,2,,186,IVLIEVKonstantin,9417,RUS,42.619,Q,
15,3,1,,136,TREACYNiall,9390,GBR,45.397,,
15,4,3,,109,GuillianvanWAASDIJK,9218,BEL,45.442,,
16,1,4,,119,VincentGIRARD,9382,CAN,44.585,Q,
16,2,5,,197,KANCHARINNatthapat,9428,THA,46.378,Q,
16,3,1,,191,PiiusYieKiatSNG,9422,SGP,49.730,,
16,PEN,3,,105,ANDERMANNNico,8720,AUT,PEN,,
16,PEN,2,,144,TALABOSAttila,9243,HUN,PEN,,
17,1,3,,138,LUEDTKEAdrian,9104,GER,43.540,Q,
17,2,5,,129,FAJKUSRadek,9335,CZE,44.202,Q,
17,3,4,,90,TunaySIMSEK,8758,TUR,44.272,,
17,4,2,,113,VladislavHAPON,9379,BLR,45.289,,
17,5,1,,195,BoraBAKA,9425,SRB,53.213,,
