season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,1,1,4,,72,AZHGALIYEVAbzal,7685,KAZ,1:28.177,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,1,2,5,,177,ANKai,9168,CHN,1:28.185,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,1,3,3,,137,ColeWilliamIsaacKRUEGER,9329,HUN,1:28.442,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,1,4,2,,144,HijiriIWASHITA,8395,JPN,1:28.559,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,1,5,1,,180,LorenzoMORRONE,9250,ITA,1:28.735,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,2,1,1,,179,ZHANGWeizhi,9308,CHN,1:25.990,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,2,2,2,,141,DavideVISCARDI,7440,ITA,1:26.320,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,2,3,3,,25,MaksimSIARHEYU,7771,BLR,1:26.988,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,2,4,5,,23,DOTTITommaso,7604,ITA,1:30.177,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1000m,m,Rep.Semifinals,2,PEN,4,,67,NurbergenZHUMAGAZIYEV,7349,KAZ,PEN,
