race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,2,5,,8,RENZiwei,8601,CHN,2:22.349,QA
0,3,1,,16,deLAATItzhak,7746,NED,2:22.489,qA
0,4,4,,64,DIONPascal,8999,CAN,2:22.506,QB
0,5,7,,104,KAZHGALINurtilek,8676,KAZ,2:22.935,qB
0,6,6,,71,ANTONIOLIMattia,8572,ITA,2:23.300,
0,7,2,,199,RobinBENDIG,9391,GER,notime,
1,1,3,,203,ROESSven,9487,NED,2:22.630,QA
1,2,4,,170,KIMDagyeom,8766,KOR,2:22.655,QA
1,3,2,,13,CONFORTOLAYuri,6561,ITA,2:22.868,QB
1,4,5,,217,MILOVANOVSergei,9289,RUS,2:23.222,ADB
1,5,1,,208,GOEMINNEGert-Jan,8707,BEL,2:23.337,
1,6,8,,14,KIKUCHIKota,8620,JPN,2:23.448,
1,7,6,,67,AZHGALIYEVAbzal,7685,KAZ,2:23.683,
1,PEN,7,,106,TREACYNiall,9390,GBR,PEN,
2,1,5,,97,ANKai,9168,CHN,2:26.575,QA
2,2,3,,61,AYRAPETYANDenis,8098,RUS,2:26.803,QA
2,3,4,,19,SHULGINOVAlexander,8752,RUS,2:26.834,QB
2,4,1,,17,DESMETStijn,8706,BEL,2:27.067,QB
2,5,7,,98,SCHUBERTChristoph,7734,GER,2:27.683,ADB
2,6,2,,68,BLAISCedrik,8998,CAN,2:28.194,
2,PEN,6,,200,KRUEGERJohn-Henry,9742,HUN,PEN,
