race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,23,SARAULTCourtneyLee,9223,CAN,1:31.507,Q
0,2,4,,85,BOTTERGOMEZNicole,8741,ITA,1:31.848,Q
0,3,5,,17,SANTOSKristen,8527,USA,1:32.910,
0,4,1,,130,NOHDoHee,7986,KOR,2:15.589,ADV
0,PEN,2,,55,SIGHELArianna,8088,ITA,PEN,
1,1,1,,48,HANYuTong,8365,CHN,1:31.278,Q
1,2,5,,16,MASCITTOCynthia,9193,ITA,1:31.600,Q
1,3,4,,10,DESMETHanne,8699,BEL,1:31.731,
1,4,2,,21,HIRAIAmi,8618,JPN,1:33.639,
1,5,3,,11,AnnaSEIDEL,8562,GER,notime,
2,1,5,,118,ZHANGYuting,9331,CHN,1:30.767,Q
2,2,1,,15,EFREMENKOVAEkaterina,8750,RUS,1:31.128,Q
2,3,2,,53,GAGNONClaudia,9381,CAN,1:42.112,
2,4,3,,45,ZHANGChutong,9452,CHN,1:54.559,
2,PEN,4,,19,HUOTMARCHANDTifany,7976,FRA,PEN,
3,1,1,,5,KIMJiYoo,8764,KOR,1:31.019,Q
3,2,2,,132,VELZEBOERXandra,9275,NED,1:31.127,Q
3,3,3,,123,DeannaLOCKETT,9603,HUN,1:31.173,q
3,4,5,,2,CHOIMinJeong,8625,KOR,1:31.348,
3,5,4,,77,BLAISDanae,9090,CAN,1:31.568,
