race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,43,NOHAhRum,7419,KOR,1:35.291,Q
0,2,3,,85,BOTTERGOMEZNicole,8741,ITA,1:35.761,Q
0,3,4,,118,ZHANGYuting,9331,CHN,1:36.071,ADV
0,PEN,1,,31,MAZURNicole,8421,POL,PEN,
1,1,4,,23,SARAULTCourtneyLee,9223,CAN,1:34.241,Q
1,2,3,,24,BINEYMaame,9144,USA,1:34.610,Q
1,3,2,,28,KIKUCHISumire,7980,JPN,notime,
1,PEN,1,,11,AnnaSEIDEL,8562,GER,PEN,
2,1,4,,2,CHOIMinJeong,8625,KOR,1:34.195,Q
2,2,1,,16,MASCITTOCynthia,9193,ITA,1:34.279,Q
2,3,2,,57,ZAKHAROVAEvgeniya,7715,RUS,1:34.388,
2,4,3,,79,STORMOWSKAKamila,9008,POL,1:35.545,
2,5,5,,141,VOLKOVITSKAYAAlyona,9372,KAZ,1:38.656,
3,1,5,,4,vanRUIJVENLara,7710,NED,1:32.063,Q
3,2,1,,117,DOAKRikki,9601,CAN,1:32.247,Q
3,3,4,,90,TALAYEVAVolha,6792,BLR,1:33.528,
3,4,3,,6,PROSVIRNOVASofia,8509,RUS,1:44.666,ADV
3,5,2,,122,KONYAZsofia,7701,HUN,notime,
4,1,3,,17,SANTOSKristen,8527,USA,1:40.226,Q
4,2,2,,76,MANOILOVAKatrin,8539,BUL,1:40.828,Q
4,3,1,,126,MiwakoYAMAURA,8475,JPN,1:40.835,
4,4,4,,13,PIERRONVeronique,6196,FRA,1:45.912,
5,1,3,,26,CHARLESAlyson,8722,CAN,1:35.337,Q
5,2,2,,27,BACSKAISaraLuca,8609,HUN,1:35.893,Q
5,3,1,,130,NOHDoHee,7986,KOR,1:37.012,
5,4,5,,86,PetraVANKOVA,8705,CZE,1:37.184,
5,5,4,,36,YAKIMOVAAnna,8702,BUL,notime,
6,1,1,,12,deVRIESRianne,8333,NED,1:34.606,Q
6,2,3,,29,MALISZEWSKANatalia,8437,POL,1:34.667,Q
6,3,5,,20,QUChunyu,8071,CHN,1:34.947,
6,4,4,,55,SIGHELArianna,8088,ITA,2:20.842,
6,5,2,,135,SofyaBOYTSOVA,9286,RUS,2:26.905,
7,1,1,,1,SCHULTINGSuzanne,8493,NED,1:32.147,Q
7,2,5,,8,ZANGYize,8725,CHN,1:32.231,Q
7,3,3,,121,SZILICZEI-NEMETRebeka,8737,HUN,1:32.337,
7,4,2,,50,MONVOISINAurelie,8556,FRA,1:32.856,
7,DNS,4,,110,LETAIJulie,9441,USA,DNS,
