race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,5,,171,KIMDongWook,9604,KOR,2:15.458,Q
0,2,3,,11,DOTTITommaso,7604,ITA,2:15.490,Q
0,3,4,,24,BYKANOVVladislav,6178,ISR,2:15.521,q
0,4,7,,21,LEPAPESebastien,7554,FRA,2:16.139,
0,5,1,,33,AlexVARNYU,8337,HUN,2:16.596,
0,6,6,,113,ADAMSKIPawel,9284,POL,2:20.619,
0,7,2,,121,MURPHYPeter,9269,LUX,2:20.715,
1,1,5,,158,HANTianyu,8388,CHN,2:18.350,Q
1,2,7,,18,HAMELINCharles,6610,CAN,2:19.219,Q
1,3,2,,134,MuhammedEmirHAN,9589,TUR,2:20.578,
1,4,4,,98,SCHUBERTChristoph,7734,GER,2:35.482,
1,5,3,,77,BREEUWSMADaan,7218,NED,2:38.068,
1,PEN,6,,28,ThomasInsukHONG,8084,USA,PEN,
1,PEN,1,,36,HANDEIOleh,9073,UKR,PEN,
2,1,7,,7,LEEJuneSeo,9370,KOR,2:15.019,Q
2,2,1,,16,deLAATItzhak,7746,NED,2:15.695,Q
2,3,4,,165,DanIWASA,8394,JPN,2:16.216,q
2,4,5,,180,PIVIROTTORyan,8650,USA,2:16.239,
2,5,3,,66,SHAMUKHANOVYerkebulan,8672,KAZ,2:16.395,
2,6,2,,83,NAVARROTristan,8559,FRA,2:17.077,
2,7,6,,174,SebastianHYDZIK,9619,POL,2:19.835,
3,1,2,,169,PARKInWook,7942,KOR,2:17.774,Q
3,2,7,,23,YOSHINAGAKazuki,8745,JPN,2:17.817,Q
3,3,4,,97,ANKai,9168,CHN,2:17.989,q
3,4,5,,20,CsabaBURJAN,7738,HUN,2:18.804,
3,5,6,,70,ZHAXYBAYEVMersaid,8623,KAZ,2:18.957,
3,6,1,,106,TREACYNiall,9390,GBR,2:19.121,
3,7,3,,114,MateuszKRZEMINSKI,9412,POL,2:21.817,
4,1,4,,9,DUBOISSteven,9092,CAN,2:13.761,Q
4,2,6,,19,SHULGINOVAlexander,8752,RUS,2:13.842,Q
4,3,5,,61,AYRAPETYANDenis,8098,RUS,2:13.870,q
4,4,3,,22,TRANAaron,8528,USA,2:14.637,
4,5,2,,172,BramSTEENAART,9278,NED,2:14.755,
4,6,1,,40,ReinisBERZINS,9267,LAT,2:17.550,
4,7,7,,46,JUNGHyunWoo(Andy),8575,AUS,2:18.447,
5,1,4,,13,CONFORTOLAYuri,6561,ITA,2:14.411,Q
5,2,1,,3,SemenELISTRATOV,7293,RUS,2:14.459,Q
5,3,2,,15,LUEDTKEAdrian,9104,GER,2:14.972,q
5,4,6,,81,LIWenlong,9453,CHN,2:15.070,
5,5,3,,131,KANCHARINNatthapat,9428,THA,2:20.374,
5,6,5,,39,ANDERMANNDominic,8078,AUT,2:21.468,
6,1,5,,6,WATANABEKeita,7605,JPN,2:21.432,Q
6,2,2,,93,ColeWilliamIsaacKRUEGER,9329,HUN,2:22.020,Q
6,3,1,,64,DIONPascal,8999,CAN,2:22.312,
6,4,3,,26,FiratYARDIMCI,8520,TUR,2:22.753,
6,5,6,,118,MetehanATAN,9486,TUR,2:23.658,
6,6,4,,155,WOLFGANGMatthias,8474,AUT,2:30.627,
