START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.575,12.575,2,12.737,12.737,3,12.805,12.805,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,4.283,16.857,2,9.292,22.029,3,9.729,22.533,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
,,,1,9.431,31.459,2,9.551,32.084,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,,40.275,2,9.354,40.813,3,9.364,41.448,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.468,49.743,2,9.558,50.371,3,9.499,50.946,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.245,58.988,2,9.578,59.948,3,9.411,1:00.357,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.373,1:08.361,2,9.496,1:09.444,3,9.439,1:09.795,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.275,1:17.635,2,9.450,1:18.893,3,9.282,1:19.077,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.550,1:27.184,2,9.763,1:28.656,3,9.714,1:28.790,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.578,1:36.762,3,9.899,1:38.555,2,9.724,1:38.513,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.701,1:46.462,2,9.898,1:48.453,3,9.995,1:48.508,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.532,1:55.993,3,9.912,1:58.364,2,9.719,1:58.226,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.573,2:05.566,3,9.397,2:07.760,2,9.403,2:07.629,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.345,2:14.911,3,9.632,2:17.392,2,9.557,2:17.185,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.485,2:24.396,3,9.766,2:27.158,2,9.798,2:26.983,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.740,2:34.136,3,10.017,2:37.175,2,10.086,2:37.069,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.923,2:44.058,2,9.797,2:46.971,3,10.003,2:47.072,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.678,2:53.735,2,9.866,2:56.837,3,9.840,2:56.911,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.520,3:03.255,2,9.552,3:06.389,3,9.590,3:06.501,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.736,3:12.990,2,9.675,3:16.063,3,9.754,3:16.254,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.581,3:22.570,2,9.924,3:25.987,3,10.042,3:26.296,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.923,3:32.493,2,9.792,3:35.779,3,9.947,3:36.242,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,10.179,3:42.672,2,9.955,3:45.734,3,9.897,3:46.139,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,10.067,3:52.739,2,9.874,3:55.607,3,9.854,3:55.992,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.865,4:02.603,3,9.855,4:05.462,2,9.373,4:05.365,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,9.566,4:12.169,2,9.696,4:15.157,3,10.001,4:15.366,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
1,10.06,4:22.222,2,10.10,4:25.256,3,9.98,4:25.340,2002-2003,2002 World Cup 4 Italy,3000MRelay,w,Heats,1
