SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
2,9.563,9.563,4,9.732,9.732,5,9.880,9.880,3,9.644,9.644,1,9.332,9.332
3,14.181,23.743,4,14.231,23.962,5,14.084,23.964,1,13.906,23.550,2,14.272,23.604
4,13.525,37.268,1,12.946,36.908,5,13.638,37.601,3,13.666,37.216,2,13.408,37.011
3,13.057,50.324,1,13.115,50.023,5,12.938,50.539,4,13.125,50.340,2,13.199,50.209
3,13.087,1:03.410,1,13.091,1:03.113,5,12.928,1:03.467,4,13.124,1:03.464,2,13.049,1:03.258
5,11.789,1:15.199,2,11.892,1:15.005,1,11.369,1:14.835,4,11.678,1:15.142,3,11.834,1:15.092
2,10.007,1:25.206,5,10.527,1:25.531,3,10.624,1:25.458,1,10.041,1:25.182,4,10.397,1:25.488
2,10.299,1:35.504,5,10.398,1:35.928,3,10.228,1:35.686,1,10.267,1:35.449,4,10.216,1:35.704
2,9.844,1:45.348,5,9.779,1:45.707,3,9.810,1:45.496,1,9.699,1:45.147,4,9.832,1:45.536
3,9.774,1:55.121,5,9.853,1:55.559,2,9.585,1:55.081,1,9.877,1:55.024,4,9.843,1:55.379
1,9.520,2:04.641,5,9.439,2:04.998,3,9.681,2:04.761,2,9.706,2:04.729,4,9.539,2:04.917
1,9.379,2:14.019,4,9.451,2:14.448,3,9.463,2:14.224,2,9.418,2:14.147,5,9.584,2:14.500
1,9.423,2:23.442,4,9.372,2:23.819,3,9.426,2:23.649,2,9.480,2:23.626,5,9.605,2:24.105
1,9.46,2:32.898,4,9.68,2:33.494,2,9.33,2:32.975,3,9.76,2:33.377,5,9.93,2:34.028
