Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,Thomas MOGENDORFF POSITION,Thomas MOGENDORFF LAP TIME,Thomas MOGENDORFF ELAPSED TIME,BENKO Tomas POSITION,BENKO Tomas LAP TIME,BENKO Tomas ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,DEL MEDICO Vincent POSITION,DEL MEDICO Vincent LAP TIME,DEL MEDICO Vincent ELAPSED TIME
1,9.752,9.752,5,10.158,10.158,6,10.247,10.247,3,9.843,9.843,2,9.836,9.836,4,10.033,10.033
3,12.409,22.160,5,12.356,22.514,6,12.561,22.807,1,12.252,22.094,4,12.660,22.495,2,12.077,22.110
2,11.323,33.483,5,11.373,33.887,6,11.249,34.055,1,11.302,33.396,3,11.091,33.586,4,11.528,33.637
2,10.613,44.095,4,10.445,44.332,6,10.645,44.700,1,10.676,44.071,3,10.651,44.236,5,10.747,44.384
1,10.568,54.662,5,10.789,55.121,6,10.590,55.290,2,10.621,54.692,3,10.658,54.894,4,10.725,55.109
2,10.432,1:05.094,4,10.317,1:05.437,6,10.478,1:05.767,1,10.305,1:04.996,3,10.404,1:05.298,5,10.552,1:05.661
1,10.323,1:15.416,5,10.421,1:15.858,6,10.319,1:16.085,2,10.511,1:15.506,3,10.396,1:15.693,4,10.114,1:15.775
1,10.305,1:25.721,3,10.249,1:26.106,6,10.502,1:26.587,2,10.277,1:25.782,4,10.488,1:26.181,5,10.501,1:26.275
2,10.353,1:36.073,4,10.182,1:36.287,6,10.751,1:37.338,1,10.197,1:35.979,3,9.938,1:36.118,5,10.091,1:36.365
3,10.005,1:46.078,4,10.252,1:46.538,6,11.080,1:48.417,1,9.670,1:45.648,2,9.787,1:45.905,5,10.242,1:46.607
2,9.821,1:55.898,5,10.205,1:56.743,6,11.728,2:00.145,1,9.751,1:55.398,3,10.280,1:56.184,4,9.764,1:56.370
2,10.308,2:06.206,4,10.398,2:07.140,6,12.326,2:12.471,1,10.235,2:05.633,5,11.194,2:07.378,3,10.457,2:06.827
2,10.621,2:16.827,4,10.859,2:17.999,6,13.101,2:25.571,1,10.665,2:16.298,5,13.495,2:20.873,3,10.803,2:17.629
0,,DQ,3,12.87,2:30.866,5,13.02,2:38.582,1,10.76,2:27.056,4,16.24,2:37.104,2,11.29,2:28.915
