START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
,,,5,8.553,8.553,2,8.285,8.285,3,8.394,8.394,1,8.023,8.023,4,8.539,8.539,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
,,,4,10.530,19.082,2,10.711,18.996,5,10.839,19.232,1,10.868,18.890,3,10.501,19.040,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
,,,2,10.897,29.979,1,10.909,29.904,5,10.878,30.110,3,11.105,29.995,4,11.017,30.056,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
1,,41.500,5,11.600,41.578,3,11.607,41.511,6,11.562,41.672,2,11.509,41.503,4,11.522,41.578,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
2,10.893,52.392,6,11.000,52.578,3,10.917,52.428,5,10.885,52.557,1,10.675,52.178,4,10.899,52.477,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
2,10.739,1:03.131,3,10.584,1:03.161,5,10.754,1:03.182,6,10.803,1:03.360,1,10.753,1:02.931,4,10.699,1:03.176,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
3,10.204,1:13.335,6,10.266,1:13.427,4,10.157,1:13.338,5,10.031,1:13.390,2,10.240,1:13.170,1,9.923,1:13.099,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
1,9.532,1:22.866,6,9.774,1:23.200,4,9.772,1:23.110,5,9.793,1:23.183,3,9.749,1:22.918,2,9.805,1:22.903,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
3,9.559,1:32.425,6,9.631,1:32.831,2,9.273,1:32.382,5,9.438,1:32.620,4,9.534,1:32.452,1,9.480,1:32.382,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
1,9.234,1:41.658,6,9.279,1:42.109,2,9.407,1:41.789,5,9.360,1:41.979,4,9.522,1:41.974,3,9.529,1:41.911,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
3,9.461,1:51.119,6,24.897,2:07.005,1,9.297,1:51.086,4,9.499,1:51.477,2,9.126,1:51.100,5,10.076,1:51.986,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
1,9.057,2:00.175,6,13.964,2:20.969,2,9.214,2:00.300,4,9.535,2:01.012,3,9.389,2:00.489,5,9.155,2:01.140,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
1,9.364,2:09.539,6,11.856,2:32.825,2,9.353,2:09.653,5,9.719,2:10.730,3,9.201,2:09.689,4,9.523,2:10.662,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
4,14.55,2:24.085,5,12.00,2:44.817,1,10.26,2:19.912,3,10.06,2:20.790,0,,DQ,2,9.78,2:20.437,2003-2004,"2003 World Cup 1, Canada",1500M,m,Heats,2
