Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Yoko IIZUKA POSITION,Yoko IIZUKA LAP TIME,Yoko IIZUKA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME
2,9.976,9.976,4,10.154,10.154,5,10.510,10.510,3,10.064,10.064,1,9.874,9.874
3,13.527,23.503,4,13.380,23.533,5,13.152,23.662,2,13.414,23.478,1,13.384,23.258
2,13.258,36.761,3,13.295,36.827,5,13.377,37.039,4,13.415,36.893,1,13.306,36.563
2,13.342,50.103,4,13.422,50.249,5,13.404,50.442,3,13.330,50.222,1,13.431,49.994
3,13.044,1:03.146,4,12.956,1:03.204,5,12.975,1:03.417,2,12.834,1:03.056,1,13.020,1:03.014
4,10.975,1:14.121,2,10.697,1:13.900,5,10.735,1:14.151,1,10.700,1:13.756,3,10.974,1:13.987
2,10.440,1:24.560,4,10.747,1:24.646,5,10.594,1:24.745,1,10.677,1:24.432,3,10.605,1:24.592
1,9.893,1:34.453,3,10.105,1:34.751,4,10.026,1:34.771,2,10.068,1:34.500,5,10.341,1:34.932
2,10.462,1:44.915,4,10.350,1:45.101,3,10.284,1:45.055,1,10.357,1:44.856,5,10.418,1:45.349
2,10.257,1:55.171,3,10.227,1:55.327,4,10.337,1:55.391,1,10.258,1:55.114,5,10.067,1:55.416
2,10.146,2:05.317,4,10.132,2:05.458,3,10.009,2:05.400,1,10.026,2:05.140,5,10.198,2:05.613
3,10.419,2:15.736,5,10.363,2:15.821,1,9.823,2:15.223,2,10.276,2:15.416,4,10.159,2:15.772
5,10.728,2:26.464,4,10.391,2:26.211,1,10.081,2:25.304,2,10.313,2:25.728,3,10.293,2:26.065
2,9.95,2:36.409,5,10.57,2:36.772,1,10.56,2:35.856,3,10.69,2:36.415,4,10.65,2:36.715
