CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,NEW ZEALAND POSITION,NEW ZEALAND LAP TIME,NEW ZEALAND ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
1,12.233,12.233,2,12.358,12.358,3,12.621,12.621,4,12.885,12.885
1,9.488,21.720,2,9.541,21.899,3,9.513,22.134,4,9.629,22.514
1,9.456,31.176,2,9.666,31.564,3,9.540,31.673,4,9.370,31.883
1,9.472,40.647,2,9.233,40.797,3,9.680,41.353,4,9.632,41.515
1,9.452,50.099,2,9.953,50.749,3,9.865,51.218,4,10.093,51.608
1,9.477,59.575,2,9.827,1:00.576,3,9.728,1:00.946,4,9.625,1:01.233
1,9.538,1:09.113,2,9.618,1:10.194,3,9.495,1:10.440,4,9.684,1:10.916
1,9.534,1:18.646,2,9.603,1:19.796,3,9.436,1:19.876,4,9.580,1:20.496
1,9.724,1:28.369,2,9.588,1:29.384,3,9.880,1:29.755,4,9.290,1:29.785
1,9.536,1:37.905,2,9.720,1:39.103,4,9.783,1:39.537,3,9.584,1:39.369
1,9.449,1:47.354,3,9.837,1:48.940,4,9.743,1:49.280,2,9.495,1:48.864
1,9.543,1:56.897,3,9.923,1:58.863,4,9.902,1:59.181,2,9.614,1:58.477
1,9.570,2:06.466,3,9.998,2:08.860,4,9.694,2:08.875,2,9.587,2:08.064
1,9.565,2:16.031,4,9.731,2:18.591,3,9.641,2:18.516,2,9.611,2:17.675
1,9.710,2:25.740,4,9.780,2:28.370,3,9.736,2:28.251,2,9.448,2:27.122
1,9.710,2:35.450,4,9.886,2:38.256,3,9.886,2:38.137,2,9.574,2:36.695
1,9.575,2:45.024,4,10.218,2:48.473,3,10.236,2:48.373,2,9.681,2:46.376
1,9.651,2:54.675,4,10.244,2:58.717,3,9.948,2:58.320,2,9.675,2:56.050
1,9.725,3:04.400,4,9.397,3:08.113,3,9.675,3:07.995,2,9.704,3:05.753
1,9.496,3:13.896,4,9.742,3:17.855,3,9.759,3:17.754,2,9.565,3:15.317
1,9.684,3:23.580,4,9.738,3:27.592,3,9.839,3:27.592,2,10.040,3:25.357
1,9.583,3:33.162,4,9.963,3:37.555,3,9.910,3:37.502,2,9.521,3:34.877
1,9.758,3:42.919,4,10.110,3:47.664,3,10.153,3:47.654,2,9.808,3:44.685
1,9.549,3:52.467,3,9.914,3:57.578,4,9.989,3:57.643,2,9.747,3:54.432
1,9.745,4:02.212,4,9.829,4:07.407,3,9.616,4:07.259,2,9.817,4:04.249
1,9.673,4:11.884,4,9.921,4:17.327,3,9.898,4:17.157,2,9.722,4:13.970
1,9.609,4:21.493,4,9.910,4:27.236,3,9.983,4:27.139,2,9.754,4:23.724
1,9.654,4:31.146,3,9.800,4:37.035,4,9.921,4:37.059,2,9.720,4:33.444
1,9.695,4:40.841,3,9.974,4:47.009,4,10.338,4:47.396,2,9.967,4:43.410
1,9.779,4:50.619,3,10.069,4:57.077,4,10.006,4:57.402,2,7.409,4:50.818
1,9.837,5:00.455,3,9.903,5:06.980,4,9.782,5:07.184,2,12.679,5:03.497
1,9.729,5:10.183,3,9.707,5:16.687,4,9.931,5:17.115,2,10.049,5:13.545
1,9.580,5:19.763,3,10.188,5:26.874,4,10.068,5:27.182,2,9.942,5:23.486
1,9.566,5:29.329,3,10.044,5:36.918,4,10.007,5:37.189,2,9.808,5:33.294
1,9.954,5:39.282,3,9.868,5:46.786,4,10.444,5:47.632,2,10.013,5:43.307
1,9.727,5:49.009,3,11.055,5:57.841,4,10.347,5:57.979,2,9.964,5:53.270
1,10.046,5:59.054,3,9.032,6:06.872,4,10.458,6:08.437,2,10.122,6:03.392
1,9.834,6:08.888,3,9.934,6:16.805,4,9.812,6:18.249,2,10.079,6:13.470
1,9.221,6:18.109,3,10.337,6:27.142,4,9.688,6:27.936,2,10.300,6:23.770
1,9.497,6:27.605,3,9.909,6:37.051,4,9.928,6:37.863,2,9.798,6:33.568
1,9.493,6:37.097,3,9.978,6:47.028,4,10.569,6:48.432,2,10.262,6:43.829
1,9.557,6:46.654,3,10.225,6:57.253,4,10.379,6:58.810,2,10.019,6:53.848
1,9.829,6:56.482,3,9.589,7:06.842,4,9.985,7:08.795,2,10.065,7:03.912
1,9.891,7:06.372,3,10.499,7:17.340,4,9.755,7:18.550,2,10.214,7:14.126
1,10.07,7:16.440,3,10.73,7:28.061,4,10.04,7:28.585,2,11.17,7:25.288
