Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
3,9.515,9.515,4,9.851,9.851,2,9.253,9.253,5,10.001,10.001,1,9.105,9.105
3,13.999,23.513,4,13.947,23.797,2,14.172,23.424,5,13.922,23.923,1,14.109,23.213
3,14.303,37.816,4,14.068,37.865,2,14.170,37.594,5,14.141,38.063,1,14.296,37.508
1,12.874,50.690,4,13.144,51.008,3,13.385,50.978,5,13.345,51.408,2,13.307,50.814
3,12.451,1:03.141,4,12.249,1:03.256,2,12.039,1:03.017,5,11.994,1:03.402,1,12.030,1:02.844
3,11.534,1:14.674,4,11.451,1:14.706,1,11.456,1:14.473,5,11.498,1:14.900,2,11.692,1:14.535
3,10.554,1:25.228,1,10.259,1:24.965,2,10.738,1:25.210,5,10.657,1:25.556,4,10.711,1:25.246
4,10.214,1:35.442,3,10.352,1:35.317,1,10.053,1:35.262,5,10.070,1:35.625,2,10.059,1:35.305
4,10.172,1:45.613,5,10.452,1:45.769,3,10.345,1:45.607,1,9.833,1:45.458,2,10.203,1:45.508
3,9.760,1:55.373,5,9.796,1:55.564,4,9.793,1:55.399,1,9.504,1:54.961,2,9.715,1:55.222
4,9.855,2:05.227,5,10.030,2:05.593,3,9.688,2:05.086,2,9.904,2:04.865,1,9.610,2:04.832
4,9.891,2:15.117,5,10.035,2:15.627,2,9.950,2:15.035,1,10.008,2:14.873,3,10.224,2:15.056
4,9.964,2:25.080,5,10.839,2:26.466,2,9.864,2:24.899,3,10.052,2:24.924,1,9.759,2:24.815
4,10.44,2:35.514,5,12.20,2:38.662,3,10.62,2:35.510,1,10.23,2:35.147,2,10.45,2:35.261
