Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
2,10.153,10.153,1,10.123,10.123,3,10.381,10.381,4,10.455,10.455,5,10.717,10.717
3,14.669,24.822,1,14.437,24.560,2,14.417,24.797,4,14.569,25.023,5,14.522,25.238
2,13.733,38.554,1,13.864,38.423,3,13.764,38.561,4,13.737,38.760,5,13.742,38.980
2,13.556,52.110,1,13.433,51.856,3,13.566,52.126,5,13.640,52.399,4,13.390,52.369
3,11.574,1:03.683,4,12.004,1:03.859,2,11.514,1:03.639,5,11.675,1:04.074,1,11.174,1:03.542
4,11.259,1:14.941,1,10.718,1:14.576,3,11.283,1:14.921,5,11.044,1:15.118,2,11.248,1:14.790
4,10.741,1:25.682,2,10.737,1:25.313,3,10.682,1:25.602,5,10.683,1:25.800,1,10.510,1:25.299
1,9.945,1:35.627,4,10.529,1:35.842,2,10.184,1:35.786,5,10.322,1:36.122,3,10.527,1:35.826
2,10.621,1:46.247,4,10.635,1:46.477,3,10.570,1:46.356,5,10.631,1:46.753,1,10.410,1:46.236
4,10.088,1:56.335,3,9.852,1:56.329,2,9.959,1:56.315,5,9.820,1:56.573,1,10.009,1:56.245
1,9.541,2:05.876,3,9.570,2:05.898,4,9.622,2:05.936,5,9.587,2:06.160,2,9.632,2:05.876
3,9.345,2:15.220,4,9.392,2:15.290,2,9.275,2:15.211,5,9.350,2:15.509,1,9.230,2:15.105
4,9.514,2:24.733,1,9.050,2:24.340,2,9.338,2:24.549,5,9.273,2:24.782,3,9.472,2:24.577
3,9.43,2:34.161,1,9.45,2:33.784,4,9.80,2:34.345,5,9.68,2:34.454,2,9.42,2:33.991
