Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME
2,11.253,11.253,3,11.430,11.430,4,11.467,11.467,5,11.506,11.506,1,11.184,11.184,6,11.713,11.713
3,13.976,25.229,2,13.626,25.055,4,13.881,25.347,5,13.936,25.441,1,13.840,25.023,6,13.809,25.522
4,12.256,37.484,5,12.542,37.596,1,11.892,37.239,6,12.420,37.860,2,12.394,37.417,3,11.909,37.430
2,10.934,48.418,5,10.988,48.584,4,11.226,48.465,3,10.581,48.441,6,11.247,48.663,1,10.801,48.230
5,10.322,58.740,1,9.810,58.394,4,10.270,58.735,2,10.176,58.616,6,10.252,58.915,3,10.433,58.663
3,10.303,1:09.043,2,10.612,1:09.006,5,10.398,1:09.132,4,10.469,1:09.085,6,10.327,1:09.241,1,10.303,1:08.966
1,10.271,1:19.314,3,10.410,1:19.416,4,10.462,1:19.593,5,10.605,1:19.690,6,10.693,1:19.934,2,10.426,1:19.392
2,10.264,1:29.577,1,10.153,1:29.568,4,10.040,1:29.633,6,10.166,1:29.856,5,9.860,1:29.793,3,10.216,1:29.607
2,10.356,1:39.933,1,10.153,1:39.721,3,10.311,1:39.943,5,10.106,1:39.962,6,10.364,1:40.157,4,10.346,1:39.953
3,9.898,1:49.830,2,10.012,1:49.732,5,10.241,1:50.184,1,9.694,1:49.656,6,10.447,1:50.603,4,10.128,1:50.081
3,9.989,1:59.819,2,9.933,1:59.664,5,9.788,1:59.972,1,9.933,1:59.588,6,9.718,2:00.321,4,9.848,1:59.928
3,9.867,2:09.686,2,9.769,2:09.432,5,10.078,2:10.049,1,9.794,2:09.382,6,9.927,2:10.247,4,9.830,2:09.757
4,10.038,2:19.723,2,9.970,2:19.402,5,10.287,2:20.335,1,9.911,2:19.293,6,10.269,2:20.516,3,9.790,2:19.547
3,9.95,2:29.668,2,9.99,2:29.387,6,10.80,2:31.129,1,10.01,2:29.303,5,10.54,2:31.048,4,10.26,2:29.804
