START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
2,12.016,12.016,1,11.975,11.975,3,12.079,12.079,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.222,21.237,1,9.166,21.141,3,9.268,21.346,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.069,30.306,1,9.022,30.162,3,9.060,30.405,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.161,39.466,1,9.302,39.464,3,9.528,39.933,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.241,48.707,2,9.265,48.729,3,9.324,49.256,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.200,57.907,1,9.072,57.801,3,9.182,58.437,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.100,1:07.006,2,9.226,1:07.027,3,8.985,1:07.422,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.020,1:16.025,2,9.044,1:16.070,3,8.853,1:16.274,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.263,1:25.288,1,9.077,1:25.147,3,9.134,1:25.408,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.121,1:34.408,2,9.367,1:34.513,3,9.508,1:34.916,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.150,1:43.558,2,9.262,1:43.775,3,9.647,1:44.562,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.215,1:52.773,2,9.194,1:52.968,3,9.279,1:53.840,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,8.965,2:01.737,2,8.967,2:01.934,3,9.052,2:02.892,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.089,2:10.826,2,8.963,2:10.897,3,9.164,2:12.056,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.221,2:20.047,2,9.223,2:20.120,3,9.262,2:21.317,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.067,2:29.113,2,9.126,2:29.246,3,9.917,2:31.234,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.293,2:38.406,2,9.283,2:38.528,3,9.649,2:40.882,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.129,2:47.535,2,9.169,2:47.697,3,9.369,2:50.251,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.060,2:56.595,2,9.105,2:56.802,3,9.144,2:59.395,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.220,3:05.815,2,9.124,3:05.926,3,9.240,3:08.634,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.247,3:15.061,2,9.249,3:15.174,3,9.473,3:18.107,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.095,3:24.156,2,9.176,3:24.349,3,9.944,3:28.051,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.293,3:33.449,2,9.332,3:33.681,3,9.883,3:37.934,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.219,3:42.667,2,9.093,3:42.773,3,9.473,3:47.406,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.150,3:51.817,2,9.207,3:51.980,3,9.326,3:56.731,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.263,4:01.079,1,8.940,4:00.920,3,9.324,4:06.055,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.131,4:10.209,2,9.396,4:10.316,3,9.563,4:15.617,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,10.775,4:20.984,1,9.185,4:19.500,3,10.018,4:25.635,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,8.168,4:29.152,1,9.511,4:29.011,3,9.873,4:35.507,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
2,9.457,4:38.609,1,9.579,4:38.590,3,9.369,4:44.876,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.394,4:48.002,2,9.577,4:48.166,3,9.552,4:54.427,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.306,4:57.308,2,9.271,4:57.436,3,9.559,5:03.986,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.445,5:06.752,2,9.460,5:06.896,3,9.848,5:13.833,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.200,5:15.951,2,9.275,5:16.170,3,10.084,5:23.917,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.341,5:25.292,2,9.529,5:25.699,3,9.942,5:33.859,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.200,5:34.491,2,9.388,5:35.087,3,9.663,5:43.521,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.155,5:43.645,2,9.200,5:44.287,3,9.614,5:53.135,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.411,5:53.056,2,8.953,5:53.240,3,9.674,6:02.809,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.479,6:02.534,2,9.422,6:02.662,3,9.545,6:12.353,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.345,6:11.878,2,9.752,6:12.413,3,10.124,6:22.477,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.537,6:21.415,2,9.782,6:22.195,3,10.097,6:32.573,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.261,6:30.675,2,9.712,6:31.906,3,9.688,6:42.261,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
1,9.216,6:39.891,2,9.666,6:41.572,3,9.240,6:51.500,2003-2004,"2004 World Championship, Sweden",5000MRelay,m,Heats,2
