START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.463,12.463,2,12.876,12.876,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.880,22.342,2,9.765,22.640,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.762,32.104,2,9.597,32.237,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.296,41.399,2,9.750,41.986,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.614,51.013,2,23.404,1:05.390,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.985,1:00.997,2,9.973,1:15.362,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.567,1:10.564,2,9.722,1:25.083,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.589,1:20.153,2,10.211,1:35.293,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.704,1:29.856,2,9.872,1:45.165,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.068,1:38.923,2,10.095,1:55.260,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.764,1:48.687,2,10.170,2:05.430,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.728,1:58.415,2,9.640,2:15.069,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.651,2:08.065,2,9.664,2:24.732,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.604,2:17.669,,,,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.345,2:27.013,2,,2:45.162,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.414,2:36.426,2,10.993,2:56.155,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.613,2:46.039,2,10.300,3:06.455,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.413,2:55.452,2,9.541,3:15.996,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.575,3:05.026,2,9.507,3:25.502,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.538,3:14.564,2,10.269,3:35.771,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.387,3:23.950,2,9.818,3:45.589,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.538,3:33.488,2,10.448,3:56.036,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.464,3:42.952,2,10.238,4:06.274,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.778,3:52.729,2,10.341,4:16.615,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.306,4:02.035,2,9.834,4:26.449,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.726,4:11.760,2,10.865,4:37.314,,,,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
1,9.60,4:21.352,2,11.89,4:49.202,0,,DQ,2004-2005,"2004 World Cup 3, USA",3000MRelay,w,Heats,2
