SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME
3,8.519,8.519,1,8.113,8.113,2,8.458,8.458,4,8.991,8.991
2,11.670,20.188,1,11.794,19.907,3,12.150,20.608,4,11.712,20.702
2,11.805,31.993,1,11.747,31.653,4,11.860,32.468,3,11.659,32.361
2,11.910,43.902,1,11.792,43.445,4,11.982,44.449,3,12.026,44.386
2,11.801,55.702,1,11.835,55.280,4,11.759,56.207,3,11.673,56.059
2,11.502,1:07.203,1,11.552,1:06.832,4,11.491,1:07.698,3,11.519,1:07.577
2,11.540,1:18.742,1,11.508,1:18.339,4,11.783,1:19.481,3,11.574,1:19.151
2,11.151,1:29.893,1,11.171,1:29.510,4,11.321,1:30.802,3,11.087,1:30.238
2,10.519,1:40.411,1,10.437,1:39.946,4,11.356,1:42.157,3,10.530,1:40.768
2,9.923,1:50.334,1,10.064,1:50.010,4,11.969,1:54.126,3,10.012,1:50.779
2,9.711,2:00.044,1,9.800,1:59.809,4,12.448,2:06.573,3,9.768,2:00.547
2,9.754,2:09.797,1,9.568,2:09.377,4,12.798,2:19.371,3,9.769,2:10.316
2,9.222,2:19.019,1,9.337,2:18.713,4,13.293,2:32.663,3,9.994,2:20.309
2,10.26,2:29.275,1,10.16,2:28.867,4,13.38,2:46.037,3,10.63,2:30.935
