Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,9.874,9.874,2,10.023,10.023,3,10.581,10.581,4,10.631,10.631,5,11.016,11.016
1,15.056,24.929,2,15.038,25.060,4,14.992,25.573,3,14.908,25.538,5,14.676,25.692
2,13.620,38.549,1,13.470,38.530,4,13.425,38.997,3,13.321,38.859,5,13.465,39.156
3,12.716,51.265,1,12.520,51.049,5,12.937,51.934,4,12.848,51.707,2,12.081,51.236
2,11.380,1:02.644,1,11.509,1:02.558,4,10.876,1:02.809,5,11.348,1:03.054,3,11.459,1:02.695
3,10.687,1:13.331,1,10.637,1:13.195,4,10.643,1:13.451,5,10.472,1:13.526,2,10.522,1:13.217
3,10.054,1:23.384,1,9.962,1:23.156,4,9.990,1:23.440,5,10.088,1:23.614,2,9.981,1:23.198
2,9.878,1:33.262,1,9.220,1:32.376,5,10.034,1:33.474,4,9.842,1:33.455,3,10.103,1:33.300
3,9.322,1:42.583,1,9.431,1:41.807,4,9.542,1:43.015,5,9.817,1:43.272,2,9.145,1:42.445
2,9.156,1:51.739,1,9.496,1:51.303,4,9.778,1:52.793,5,10.060,1:53.331,3,9.397,1:51.841
2,9.397,2:01.135,1,9.478,2:00.780,4,9.762,2:02.554,5,10.562,2:03.893,3,9.585,2:01.426
2,9.812,2:10.946,1,9.980,2:10.760,4,10.235,2:12.788,5,10.982,2:14.874,3,9.591,2:11.017
3,10.179,2:21.124,1,9.998,2:20.757,4,10.956,2:23.743,5,11.641,2:26.515,2,9.955,2:20.972
3,11.54,2:32.659,2,10.72,2:31.476,4,12.31,2:36.044,5,12.63,2:39.138,1,10.37,2:31.335
