START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.107,12.107,4,13.580,13.580,3,13.524,13.524,2,12.212,12.212,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.393,21.500,3,9.445,23.024,4,9.623,23.146,1,9.138,21.350,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.312,30.811,3,9.408,32.432,4,9.656,32.801,1,8.745,30.094,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.374,40.184,4,9.665,42.096,3,9.140,41.941,1,9.122,39.216,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.573,49.757,4,9.990,52.086,3,9.978,51.919,1,9.181,48.397,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,8.971,58.728,3,9.640,1:01.726,4,9.978,1:01.896,1,9.077,57.473,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.572,1:08.300,4,9.602,1:11.328,3,9.391,1:11.286,1,9.136,1:06.609,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.607,1:17.906,4,9.566,1:20.893,3,9.597,1:20.883,1,9.038,1:15.647,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.293,1:27.199,3,9.512,1:30.405,4,9.634,1:30.517,1,8.710,1:24.356,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.820,1:37.019,3,9.809,1:40.213,4,9.751,1:40.267,1,9.057,1:33.413,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.623,1:46.641,4,9.903,1:50.115,3,9.835,1:50.102,1,9.219,1:42.631,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.569,1:56.210,4,9.856,1:59.970,3,9.766,1:59.867,1,9.073,1:51.704,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.398,2:05.607,3,9.671,2:09.640,4,9.857,2:09.723,1,8.995,2:00.698,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.732,2:15.339,3,9.738,2:19.378,4,14.001,2:23.724,1,9.192,2:09.890,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.513,2:24.852,3,9.552,2:28.929,4,6.098,2:29.821,1,9.353,2:19.242,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,10.177,2:35.028,3,9.832,2:38.760,4,9.576,2:39.397,1,9.253,2:28.495,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.716,2:44.744,4,10.104,2:48.864,3,9.301,2:48.698,1,9.318,2:37.812,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.555,2:54.299,4,9.838,2:58.701,3,9.376,2:58.073,1,9.362,2:47.174,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,9.696,3:03.994,4,9.602,3:08.303,3,9.271,3:07.343,1,9.252,2:56.425,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
2,10.239,3:14.232,4,10.051,3:18.353,3,9.538,3:16.880,1,9.225,3:05.650,2004-2005,"2005 World Cup 6, Slovakia",5000MRelay,m,Heats,5
