START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.459,12.459,3,12.753,12.753,2,12.502,12.502,4,13.031,13.031,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.354,21.812,3,9.355,22.107,2,9.410,21.911,4,9.485,22.515,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.165,30.976,3,9.164,31.271,2,9.223,31.134,4,9.123,31.637,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.300,40.276,3,9.445,40.715,2,9.370,40.504,4,9.194,40.831,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.106,49.381,3,9.392,50.107,2,9.085,49.588,4,9.806,50.637,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.025,58.406,3,9.547,59.653,2,9.207,58.795,4,9.381,1:00.017,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.276,1:07.681,3,9.060,1:08.712,2,9.121,1:07.915,4,9.207,1:09.224,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.174,1:16.855,3,9.415,1:18.127,2,9.298,1:17.213,4,9.344,1:18.567,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.495,1:26.349,3,9.340,1:27.467,2,9.287,1:26.499,4,9.374,1:27.940,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.245,1:35.594,3,9.311,1:36.777,2,9.305,1:35.803,4,9.270,1:37.210,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.538,1:45.131,3,9.610,1:46.386,2,9.494,1:45.297,4,12.780,1:49.989,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.157,1:54.287,3,9.816,1:56.201,2,9.288,1:54.584,4,6.588,1:56.577,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.148,2:03.435,3,9.416,2:05.617,2,9.382,2:03.966,4,9.329,2:05.905,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.484,2:12.918,3,9.498,2:15.115,2,9.451,2:13.416,4,9.375,2:15.279,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.591,2:22.509,3,9.512,2:24.627,2,9.228,2:22.643,4,9.615,2:24.894,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.533,2:32.042,3,9.520,2:34.146,2,9.645,2:32.288,4,9.581,2:34.474,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.417,2:41.458,3,9.890,2:44.036,2,9.429,2:41.716,4,10.219,2:44.693,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.335,2:50.793,3,10.081,2:54.117,2,9.487,2:51.203,4,9.956,2:54.649,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.275,3:00.067,,,,2,9.543,3:00.746,3,9.741,3:04.390,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.580,3:09.646,3,,3:13.063,2,9.648,3:10.393,4,9.757,3:14.146,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.822,3:19.467,3,9.859,3:22.921,2,9.434,3:19.827,4,9.913,3:24.059,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.757,3:29.224,3,10.058,3:32.978,2,9.429,3:29.255,4,9.524,3:33.582,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.644,3:38.868,3,10.032,3:43.010,2,9.866,3:39.121,4,10.362,3:43.944,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.468,3:48.336,3,10.268,3:53.278,2,9.735,3:48.855,4,10.107,3:54.051,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.363,3:57.699,3,9.480,4:02.757,2,9.771,3:58.625,4,9.983,4:04.033,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,9.759,4:07.457,3,9.898,4:12.655,2,9.945,4:08.570,4,9.818,4:13.851,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
1,10.28,4:17.729,3,10.22,4:22.868,2,10.21,4:18.780,4,10.25,4:24.096,2005-2006,"2005 World Cup 2, Korea",3000MRelay,w,SemiFinals,1
