RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,NETHERLANDS POSITION,NETHERLANDS LAP TIME,NETHERLANDS ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
1,11.766,11.766,2,12.557,12.557,3,12.758,12.758,4,13.572,13.572
1,9.222,20.987,2,9.330,21.886,3,9.360,22.118,4,9.338,22.910
1,9.307,30.294,2,9.115,31.001,3,9.099,31.216,4,8.978,31.888
1,9.552,39.845,2,9.045,40.046,3,9.041,40.257,4,8.936,40.823
1,9.336,49.181,2,9.360,49.406,3,9.309,49.566,4,9.062,49.884
1,9.143,58.324,2,9.259,58.664,3,9.149,58.715,4,9.378,59.262
1,9.450,1:07.773,2,9.371,1:08.035,3,9.420,1:08.134,4,9.157,1:08.418
1,9.396,1:17.169,2,9.288,1:17.322,3,9.360,1:17.494,4,9.420,1:17.838
1,9.355,1:26.523,2,9.314,1:26.635,3,9.338,1:26.832,4,9.232,1:27.069
1,9.554,1:36.077,2,9.629,1:36.264,3,9.434,1:36.266,4,9.449,1:36.518
1,9.449,1:45.526,2,9.504,1:45.768,3,9.535,1:45.800,4,9.567,1:46.085
1,9.261,1:54.786,2,9.166,1:54.934,3,9.190,1:54.989,4,9.401,1:55.486
1,9.382,2:04.167,2,9.360,2:04.293,3,9.356,2:04.345,4,9.129,2:04.615
1,9.694,2:13.861,2,9.737,2:14.029,3,9.695,2:14.040,4,9.625,2:14.239
1,9.416,2:23.277,3,9.459,2:23.488,2,9.417,2:23.456,4,9.567,2:23.805
2,9.635,2:32.912,3,9.547,2:33.035,1,9.414,2:32.869,4,9.348,2:33.153
2,9.291,2:42.203,3,9.387,2:42.421,1,9.039,2:41.908,4,9.434,2:42.586
2,9.246,2:51.449,3,9.249,2:51.670,1,9.263,2:51.170,4,9.358,2:51.944
2,9.429,3:00.877,3,9.237,3:00.907,1,9.520,3:00.690,4,9.380,3:01.324
2,9.246,3:10.123,3,9.375,3:10.282,1,9.307,3:09.997,4,9.297,3:10.620
2,9.304,3:19.426,3,9.271,3:19.552,1,9.116,3:19.112,4,9.229,3:19.849
2,9.579,3:29.005,3,9.545,3:29.097,1,9.046,3:28.158,4,9.359,3:29.207
3,9.581,3:38.585,2,9.456,3:38.552,1,9.198,3:37.355,4,9.645,3:38.852
3,9.381,3:47.966,2,9.341,3:47.893,1,9.214,3:46.569,4,9.344,3:48.196
3,9.454,3:57.419,2,9.337,3:57.230,1,9.226,3:55.794,4,9.246,3:57.441
4,9.579,4:06.998,2,9.199,4:06.428,1,9.217,4:05.011,3,9.283,4:06.724
4,9.277,4:16.274,2,9.439,4:15.866,1,8.950,4:13.961,3,9.291,4:16.014
4,9.705,4:25.979,3,9.535,4:25.401,1,9.274,4:23.234,2,9.327,4:25.341
4,9.485,4:35.463,2,9.262,4:34.662,1,9.282,4:32.515,3,9.497,4:34.837
4,9.358,4:44.820,2,9.450,4:44.112,1,9.205,4:41.720,3,9.460,4:44.297
4,9.345,4:54.165,3,9.819,4:53.931,1,9.456,4:51.175,2,9.459,4:53.756
4,9.371,5:03.536,3,9.327,5:03.257,1,9.446,5:00.621,2,9.362,5:03.117
4,9.373,5:12.908,3,9.176,5:12.432,1,9.390,5:10.011,2,9.147,5:12.264
4,9.842,5:22.749,3,9.229,5:21.660,1,9.608,5:19.619,2,9.295,5:21.558
4,9.804,5:32.553,3,9.410,5:31.070,1,9.567,5:29.186,2,9.436,5:30.994
4,9.504,5:42.057,3,10.064,5:41.134,1,9.451,5:38.636,2,9.332,5:40.325
4,9.391,5:51.447,3,9.609,5:50.742,1,9.489,5:48.124,2,9.293,5:49.617
4,9.486,6:00.933,3,9.549,6:00.291,1,9.506,5:57.630,2,9.341,5:58.957
4,9.772,6:10.704,3,9.371,6:09.661,1,9.195,6:06.824,2,9.098,6:08.054
4,9.946,6:20.650,3,9.384,6:19.045,1,9.758,6:16.582,2,9.469,6:17.523
4,9.853,6:30.503,3,9.564,6:28.609,1,9.619,6:26.201,2,9.658,6:27.180
4,9.643,6:40.145,3,9.965,6:38.574,1,9.433,6:35.633,2,9.409,6:36.588
4,9.641,6:49.786,3,9.743,6:48.316,1,9.392,6:45.025,2,9.619,6:46.207
4,9.796,6:59.582,3,9.482,6:57.798,1,9.419,6:54.444,2,9.729,6:55.935
4,10.78,7:10.356,3,9.79,7:07.579,1,10.40,7:04.836,2,10.40,7:06.330
