START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,11.735,11.735,4,12.204,12.204,2,11.792,11.792,3,11.860,11.860,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
2,9.035,20.769,4,9.034,21.238,1,8.783,20.574,3,9.134,20.993,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
2,8.571,29.340,4,8.681,29.918,3,8.787,29.360,1,8.080,29.073,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,9.023,38.363,4,8.677,38.595,2,8.739,38.099,1,8.973,38.046,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,9.150,47.513,4,9.047,47.641,2,8.866,46.965,1,8.900,46.945,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.641,56.153,4,8.952,56.592,2,8.675,55.639,1,8.477,55.421,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.707,1:04.860,4,9.357,1:05.949,2,8.728,1:04.367,1,8.784,1:04.205,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.577,1:13.436,4,9.016,1:14.965,2,8.776,1:13.143,1,8.929,1:13.134,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.582,1:22.017,4,8.752,1:23.716,1,8.624,1:21.766,2,8.655,1:21.788,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.998,1:31.015,4,8.873,1:32.589,1,8.912,1:30.678,2,8.954,1:30.741,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,9.133,1:40.147,4,9.183,1:41.771,1,8.877,1:39.554,2,8.875,1:39.616,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.621,1:48.768,4,8.944,1:50.715,2,8.740,1:48.294,1,8.606,1:48.222,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,9.097,1:57.864,4,9.464,2:00.179,1,8.949,1:57.243,2,9.090,1:57.312,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,8.768,2:06.632,4,9.036,2:09.214,2,8.931,2:06.174,1,8.858,2:06.169,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
3,11.557,2:18.188,4,9.017,2:18.230,1,8.645,2:14.818,2,8.831,2:15.000,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
4,11.539,2:29.727,3,8.899,2:27.129,2,8.839,2:23.656,1,8.553,2:23.553,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
4,9.295,2:39.022,3,9.340,2:36.469,1,8.838,2:32.494,2,8.966,2:32.519,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
4,9.259,2:48.280,3,9.046,2:45.514,2,8.963,2:41.456,1,8.781,2:41.300,2005-2006,"2005 World Cup 3, Italy",5000MRelay,m,SemiFinals,1
