Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME
1,9.044,9.044,4,9.471,9.471,2,9.092,9.092,3,9.412,9.412,6,9.912,9.912,5,9.603,9.603
5,12.582,21.626,3,11.928,21.399,2,12.051,21.142,1,11.697,21.109,6,11.800,21.712,4,11.797,21.399
4,9.983,31.608,5,10.281,31.680,2,10.334,31.476,1,10.108,31.217,3,9.847,31.559,6,10.333,31.732
5,10.148,41.755,4,10.013,41.693,1,10.097,41.573,2,10.419,41.635,6,10.279,41.838,3,9.955,41.686
2,9.664,51.419,1,9.647,51.339,5,9.886,51.459,6,9.971,51.606,4,9.620,51.457,3,9.739,51.425
3,9.943,1:01.362,1,9.906,1:01.245,2,9.873,1:01.331,4,9.833,1:01.438,5,10.025,1:01.482,6,10.160,1:01.584
2,9.950,1:11.311,1,10.011,1:11.255,3,10.083,1:11.413,5,10.193,1:11.631,6,10.178,1:11.659,4,10.034,1:11.617
2,10.565,1:21.876,1,10.574,1:21.828,3,10.552,1:21.965,5,10.385,1:22.015,4,10.337,1:21.996,6,10.408,1:22.025
3,10.328,1:32.203,1,10.302,1:32.130,4,10.268,1:32.232,6,10.332,1:32.347,2,10.160,1:32.155,5,10.263,1:32.287
3,10.112,1:42.315,4,10.267,1:42.397,2,10.054,1:42.286,5,10.199,1:42.546,6,10.465,1:42.619,1,9.986,1:42.272
3,10.131,1:52.446,1,9.918,1:52.314,4,10.250,1:52.535,6,10.419,1:52.964,5,10.097,1:52.716,2,10.149,1:52.420
3,10.244,2:02.690,1,10.249,2:02.562,4,10.218,2:02.752,6,10.707,2:03.671,5,10.369,2:03.085,2,10.256,2:02.676
3,10.197,2:12.886,1,10.221,2:12.783,4,10.206,2:12.957,6,11.106,2:14.776,5,9.926,2:13.010,2,10.165,2:12.841
2,10.06,2:22.946,1,10.00,2:22.776,4,10.19,2:23.141,6,11.60,2:26.370,5,10.48,2:23.490,3,10.21,2:23.048
