START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
0,12.162,12.162,0,12.070,12.070,0,12.755,12.755,0,12.277,12.277,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.008,21.171,0,9.249,21.318,0,9.261,22.016,0,9.279,21.555,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.262,30.433,0,9.468,30.786,0,9.103,31.119,0,9.549,31.104,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.452,39.884,0,9.124,39.910,0,9.286,40.405,0,9.139,40.243,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.483,49.368,0,9.652,49.563,0,9.120,49.525,0,9.541,49.784,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.306,58.674,0,9.544,59.106,0,9.432,58.957,0,9.370,59.154,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.309,1:07.983,0,9.255,1:08.362,0,9.245,1:08.202,0,9.402,1:08.556,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.231,1:17.213,0,9.103,1:17.465,0,9.205,1:17.407,0,9.225,1:17.780,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,8.873,1:26.086,0,9.301,1:26.766,0,9.242,1:26.648,0,9.267,1:27.047,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.930,1:36.017,0,9.363,1:36.129,0,9.438,1:36.086,0,9.300,1:36.347,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,6.399,1:42.416,0,9.839,1:45.968,0,5.164,1:41.251,0,9.760,1:46.107,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,3.197,1:45.613,0,9.464,1:55.432,0,13.975,1:55.225,0,9.436,1:55.543,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.508,1:55.121,0,9.579,2:05.011,0,9.596,2:04.822,0,9.588,2:05.131,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,18.703,2:13.824,0,9.345,2:14.355,0,9.311,2:14.132,0,9.384,2:14.514,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.340,2:23.164,0,9.267,2:23.622,0,9.365,2:23.497,0,9.558,2:24.072,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
0,9.455,2:32.619,0,9.359,2:32.981,0,9.224,2:32.721,0,9.105,2:33.177,2006-2007,"2007 ISU European Championships, Great Britain",5000mRelay,m,SemiFinals,2
