Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,HU Ze POSITION,HU Ze LAP TIME,HU Ze ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME
0,9.531,9.531,0,9.892,9.892,0,9.388,9.388,0,11.046,11.046,0,10.113,10.113
0,13.205,22.736,0,12.878,22.770,0,13.149,22.538,0,11.271,22.317,0,12.996,23.109
0,12.673,35.409,0,12.520,35.290,0,12.373,34.910,0,12.650,34.967,0,12.449,35.558
0,11.843,47.251,0,12.022,47.312,0,11.940,46.850,0,12.198,47.165,0,12.046,47.603
0,11.773,59.025,0,11.753,59.065,0,11.835,58.685,0,11.786,58.950,0,11.662,59.265
0,10.771,1:09.795,0,11.155,1:10.220,0,11.120,1:09.805,0,11.112,1:10.062,0,10.988,1:10.253
0,10.535,1:20.330,0,10.375,1:20.595,0,10.361,1:20.166,0,10.549,1:20.612,0,10.560,1:20.813
0,10.268,1:30.597,0,10.270,1:30.865,0,10.298,1:30.464,0,10.404,1:31.016,0,10.222,1:31.035
0,9.840,1:40.437,0,9.771,1:40.636,0,10.001,1:40.464,0,9.694,1:40.709,0,9.815,1:40.850
0,10.106,1:50.543,0,10.122,1:50.758,0,10.121,1:50.586,0,10.070,1:50.780,0,10.192,1:51.042
0,9.998,2:00.542,0,9.864,2:00.622,0,10.059,2:00.644,0,9.932,2:00.712,0,9.950,2:00.991
0,9.838,2:10.380,0,9.395,2:10.017,0,9.879,2:10.524,0,10.168,2:10.880,0,10.283,2:11.274
0,9.939,2:20.319,0,9.405,2:19.422,0,9.820,2:20.343,0,9.888,2:20.768,0,10.686,2:21.960
0,10.064,2:30.383,0,9.905,2:29.327,0,10.200,2:30.543,0,9.829,2:30.597,0,11.309,2:33.268
