Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,JANG Won-Hoon POSITION,JANG Won-Hoon LAP TIME,JANG Won-Hoon ELAPSED TIME,YE Liming POSITION,YE Liming LAP TIME,YE Liming ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Marco BERTOLDI POSITION,Marco BERTOLDI LAP TIME,Marco BERTOLDI ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME
0,8.914,8.914,0,9.583,9.583,0,9.804,9.804,0,8.821,8.821,0,9.403,9.403,0,8.572,8.572,0,9.272,9.272
0,12.580,21.494,0,12.443,22.026,0,12.592,22.395,0,12.611,21.432,0,11.996,21.400,0,13.080,21.652,0,12.564,21.836
0,11.567,33.061,0,11.562,33.588,0,11.379,33.774,0,11.317,32.749,0,12.072,33.472,0,11.105,32.757,0,11.367,33.203
0,9.979,43.040,0,10.023,43.611,0,10.119,43.893,0,10.270,43.019,0,9.844,43.316,0,10.309,43.066,0,10.153,43.356
0,10.137,53.177,0,10.028,53.639,0,9.869,53.762,0,10.534,53.553,0,10.105,53.420,0,9.950,53.016,0,9.988,53.344
0,9.902,1:03.079,0,10.005,1:03.644,0,8.973,1:02.735,0,9.359,1:02.912,0,9.864,1:03.284,0,10.102,1:03.118,0,10.044,1:03.389
0,9.760,1:12.839,0,9.558,1:13.203,0,9.111,1:11.846,0,9.547,1:12.459,0,9.804,1:13.089,0,9.552,1:12.670,0,9.750,1:13.138
0,9.378,1:22.217,0,8.872,1:22.074,0,10.242,1:22.088,0,9.598,1:22.058,0,9.641,1:22.730,0,9.563,1:22.232,0,9.383,1:22.521
0,9.194,1:31.411,0,9.221,1:31.295,0,9.812,1:31.899,0,9.276,1:31.334,0,9.071,1:31.801,0,9.221,1:31.454,0,9.403,1:31.923
0,9.247,1:40.658,0,9.041,1:40.336,0,8.471,1:40.371,0,9.651,1:40.985,0,9.726,1:41.527,0,9.268,1:40.722,0,9.069,1:40.992
0,9.372,1:50.030,0,9.461,1:49.797,0,9.261,1:49.632,0,8.882,1:49.867,0,8.962,1:50.489,0,9.191,1:49.913,0,9.263,1:50.255
0,9.571,1:59.601,0,9.597,1:59.393,0,10.313,1:59.945,0,9.587,1:59.454,0,9.532,2:00.021,0,10.637,2:00.550,0,14.989,2:05.244
0,9.907,2:09.508,0,9.502,2:08.895,0,8.639,2:08.584,0,9.619,2:09.073,0,9.572,2:09.594,0,10.462,2:11.011,0,12.324,2:17.568
0,,,0,,,0,,,0,,,0,,,0,,,0,,
