Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,KIM Hye-Kyung POSITION,KIM Hye-Kyung LAP TIME,KIM Hye-Kyung ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME
0,12.521,12.521,0,12.396,12.396,0,27.664,27.664,0,12.935,12.935,0,12.931,12.931,0,12.494,12.494
0,15.281,27.802,0,15.162,27.558,0,,,0,15.130,28.065,0,,,0,15.310,27.804
0,13.934,41.736,0,14.233,41.791,0,,41.927,0,14.290,42.355,0,,42.437,0,14.412,42.216
0,14.588,56.325,0,14.225,56.017,0,14.114,56.041,0,14.153,56.508,0,13.966,56.403,0,14.020,56.236
0,11.473,1:07.798,0,11.603,1:07.620,0,11.846,1:07.887,0,11.812,1:08.320,0,,,0,11.607,1:07.843
0,11.664,1:19.462,0,11.714,1:19.334,0,11.709,1:19.596,0,11.708,1:20.028,0,,1:19.989,0,11.734,1:19.577
0,11.602,1:31.063,0,11.520,1:30.853,0,11.572,1:31.168,0,11.455,1:31.483,0,11.446,1:31.435,0,11.755,1:31.332
0,10.243,1:41.306,0,10.619,1:41.472,0,10.311,1:41.479,0,10.411,1:41.894,0,10.347,1:41.782,0,10.019,1:41.350
0,10.239,1:51.545,0,10.112,1:51.584,0,10.124,1:51.603,0,9.916,1:51.810,0,,,0,10.075,1:51.425
0,9.973,2:01.518,0,10.132,2:01.716,0,9.953,2:01.556,0,9.493,2:01.302,0,,2:02.087,0,10.159,2:01.585
0,9.807,2:11.325,0,9.826,2:11.542,0,9.845,2:11.402,0,9.530,2:10.832,0,10.229,2:12.316,0,9.892,2:11.476
0,22.288,2:33.612,0,10.040,2:21.582,0,10.233,2:21.634,0,9.785,2:20.617,0,10.929,2:23.245,0,26.179,2:37.655
0,13.756,2:47.368,0,10.773,2:32.355,0,10.726,2:32.360,0,10.285,2:30.902,0,11.674,2:34.919,0,17.436,2:55.091
0,,,0,,,0,,,0,,,0,,,0,,
