START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,season,competition,event,gender,round,race
0,8.192,8.192,0,8.476,8.476,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.876,19.068,0,10.654,19.130,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.248,29.316,0,10.345,29.475,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.542,39.858,0,10.268,39.743,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.659,50.517,0,10.629,50.372,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.706,1:01.223,0,10.718,1:01.089,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.905,1:12.128,0,10.915,1:12.004,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,10.859,1:22.986,0,11.123,1:23.127,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,11.161,1:34.147,0,11.151,1:34.278,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,11.130,1:45.277,0,11.054,1:45.332,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,11.763,1:57.041,0,11.546,1:56.878,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,12.083,2:09.124,0,12.073,2:08.951,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,12.053,2:21.176,0,12.048,2:20.999,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
0,11.817,2:32.994,0,11.797,2:32.795,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,w,RepFinalB,1
