START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.380,3:03.100,3,9.520,3:03.070,2,9.590,3:02.980,1,9.450,3:02.920,5,9.490,3:06.420,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,9.450,3:12.550,3,9.330,3:12.410,2,9.260,3:12.250,1,9.270,3:12.190,5,9.280,3:15.700,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
3,9.140,3:21.700,4,9.370,3:21.780,2,9.210,3:21.460,1,9.230,3:21.420,5,9.710,3:25.420,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
3,9.360,3:31.060,4,9.340,3:31.130,1,9.380,3:30.850,2,9.500,3:30.920,5,9.630,3:35.060,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
3,9.320,3:40.390,4,9.470,3:40.600,1,9.410,3:40.260,2,9.400,3:40.320,5,9.880,3:44.940,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,9.730,3:50.120,3,9.410,3:50.020,1,9.550,3:49.820,2,9.530,3:49.860,5,9.730,3:54.680,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,9.500,3:59.620,2,9.550,3:59.570,3,9.780,3:59.600,1,9.450,3:59.310,5,9.790,4:04.470,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
3,9.630,4:09.260,4,9.720,4:09.300,2,9.590,4:09.200,1,9.680,4:09.000,5,9.440,4:13.910,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,8.980,4:18.250,3,9.080,4:18.380,2,9.070,4:18.280,4,9.390,4:18.400,5,9.760,4:23.680,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,9.530,4:27.790,3,9.380,4:27.770,1,9.310,4:27.590,2,9.250,4:27.650,5,9.690,4:33.380,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
2,9.310,4:37.100,3,9.410,4:37.190,1,9.460,4:37.050,4,9.600,4:37.250,5,9.670,4:43.050,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,9.410,4:46.510,1,8.950,4:46.140,2,9.360,4:46.420,3,9.240,4:46.490,5,9.830,4:52.880,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,9.390,4:55.910,1,9.440,4:55.590,2,9.230,4:55.650,3,9.260,4:55.760,5,9.630,5:02.520,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
3,9.240,5:05.150,1,9.250,5:04.840,2,9.410,5:05.060,4,9.470,5:05.230,5,9.890,5:12.410,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
3,9.270,5:14.430,1,9.210,5:14.050,2,9.100,5:14.170,4,9.720,5:14.960,5,10.240,5:22.650,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,9.070,5:23.500,2,9.550,5:23.610,3,9.540,5:23.710,4,8.830,5:23.790,5,10.670,5:33.320,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,9.530,5:33.030,4,9.770,5:33.380,2,9.400,5:33.110,3,9.550,5:33.350,5,10.100,5:43.430,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,9.540,5:42.570,2,9.390,5:42.770,4,9.910,5:43.020,3,9.660,5:43.010,5,9.600,5:53.040,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,9.090,5:51.670,2,9.310,5:52.090,4,9.270,5:52.300,3,9.230,5:52.240,5,10.070,6:03.120,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,8.990,6:00.660,2,9.110,6:01.210,3,9.140,6:01.450,4,9.310,6:01.560,5,9.400,6:12.520,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,9.190,6:09.850,2,9.130,6:10.340,4,9.390,6:10.840,3,8.960,6:10.520,5,10.800,6:23.330,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
4,10.310,6:20.160,2,9.520,6:19.870,3,9.210,6:20.050,1,9.270,6:19.790,5,10.700,6:34.040,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,8.010,6:28.170,3,9.620,6:29.490,4,9.510,6:29.560,2,9.380,6:29.180,5,10.310,6:44.360,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
1,9.930,6:38.110,3,9.130,6:38.630,4,9.490,6:39.060,2,9.350,6:38.530,5,9.940,6:54.300,2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Semifinals,1
