START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,7.109,7.109,2,7.248,7.248,3,7.475,7.475,4,7.891,7.891,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,9.397,16.506,2,9.360,16.607,3,9.451,16.926,4,9.607,17.498,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,8.863,25.370,2,8.902,25.509,3,8.942,25.868,4,9.220,26.717,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,9.093,34.463,2,9.023,34.532,3,9.296,35.164,4,9.241,35.959,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,9.231,43.693,2,9.246,43.778,3,9.498,44.661,4,9.562,45.521,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
,,,,,,,,,,,,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
,,,,,,,,,,,,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
,,,,,,,,,,,,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
,,,,,,,,,,,,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,7.080,7.080,2,7.220,7.220,3,7.450,7.450,4,7.870,7.870,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,9.390,16.480,2,9.350,16.580,3,9.450,16.900,4,9.600,17.470,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,8.860,25.340,2,8.900,25.480,3,8.940,25.840,4,9.220,26.690,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,9.090,34.440,2,9.020,34.510,3,9.290,35.140,4,9.240,35.930,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
1,9.230,43.670,2,9.240,43.750,3,9.490,44.640,4,9.560,45.500,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",500m,m,RepHeats,1
