START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.420,9.420,3,10.020,10.020,6,10.650,10.650,1,9.330,9.330,4,10.080,10.080,5,10.140,10.140,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
2,14.050,23.470,4,13.730,23.760,3,13.080,23.730,1,13.850,23.180,5,13.750,23.840,6,13.910,24.060,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
1,11.040,34.510,5,11.230,34.990,6,11.470,35.210,3,11.620,34.810,4,11.120,34.970,2,10.510,34.570,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
6,11.110,45.620,5,10.620,45.610,3,10.210,45.420,2,10.540,45.350,1,10.310,45.280,4,10.940,45.510,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
3,10.090,55.710,2,10.080,55.690,4,10.300,55.720,1,10.160,55.510,,,,5,10.530,56.050,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
4,10.300,1:06.020,5,10.390,1:06.090,3,10.210,1:05.940,2,10.260,1:05.780,1,0.000,1:01.990,6,10.610,1:06.660,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
1,9.750,1:15.770,4,10.030,1:16.130,2,9.870,1:15.810,3,10.060,1:15.840,5,14.140,1:16.140,6,9.800,1:16.470,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
2,10.210,1:25.990,4,10.140,1:26.270,3,10.210,1:26.030,1,9.970,1:25.810,5,10.240,1:26.380,6,10.110,1:26.590,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
1,9.900,1:35.890,4,10.000,1:36.280,2,9.980,1:36.010,3,10.330,1:36.150,5,9.990,1:36.380,6,9.930,1:36.520,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
1,10.240,1:46.130,4,10.230,1:46.520,2,10.350,1:46.370,3,10.310,1:46.470,5,10.280,1:46.670,6,10.380,1:46.900,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
2,9.730,1:55.860,4,9.640,1:56.160,1,9.350,1:55.730,5,9.720,1:56.190,3,9.460,1:56.130,6,9.620,1:56.520,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
4,9.530,2:05.400,5,9.370,2:05.530,1,9.000,2:04.730,2,8.820,2:05.020,3,9.230,2:05.370,6,9.170,2:05.700,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
4,9.250,2:14.650,2,8.280,2:13.820,1,9.040,2:13.780,3,8.980,2:14.010,6,9.710,2:15.080,5,9.240,2:14.950,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
4,9.720,2:24.370,3,10.350,2:24.170,2,9.320,2:23.110,1,8.790,2:22.800,6,9.660,2:24.750,5,9.500,2:24.450,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,RepFinalA,1
