Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME
1,9.160,9.160,2,9.550,9.550,4,9.770,9.770,5,10.050,10.050,6,10.060,10.060,3,9.660,9.660
1,13.540,22.710,2,13.180,22.740,4,13.250,23.020,6,13.370,23.420,5,13.340,23.410,3,13.340,23.000
1,11.990,34.710,2,12.050,34.790,5,12.400,35.430,4,11.940,35.360,6,12.040,35.450,3,12.130,35.140
1,11.740,46.450,4,11.960,46.750,2,11.280,46.710,5,11.390,46.760,6,11.550,47.000,3,11.570,46.720
1,10.910,57.360,5,10.790,57.550,3,10.730,57.450,4,10.720,57.480,2,10.380,57.390,6,11.150,57.880
2,10.240,1:07.610,4,10.170,1:07.720,5,10.440,1:07.890,1,10.000,1:07.490,6,10.510,1:07.910,3,9.830,1:07.720
2,9.670,1:17.290,5,9.860,1:17.580,4,9.520,1:17.410,1,9.340,1:16.830,6,9.840,1:17.760,3,9.670,1:17.390
3,9.660,1:26.950,5,9.610,1:27.200,4,9.570,1:26.990,2,10.010,1:26.840,6,9.650,1:27.410,1,9.380,1:26.780
3,9.400,1:36.360,5,9.440,1:36.640,4,9.640,1:36.640,2,9.410,1:36.260,6,9.340,1:36.760,1,9.460,1:36.240
1,9.150,1:45.510,5,9.470,1:46.110,2,8.880,1:45.520,3,9.480,1:45.740,6,9.450,1:46.210,4,9.640,1:45.890
1,9.440,1:54.960,6,9.620,1:55.730,4,9.890,1:55.410,3,9.570,1:55.320,5,9.400,1:55.620,2,9.370,1:55.260
3,9.480,2:04.450,6,9.240,2:04.980,1,8.840,2:04.250,2,8.950,2:04.280,5,9.150,2:04.770,4,9.260,2:04.530
6,24.090,2:28.540,4,9.490,2:14.470,1,9.300,2:13.560,2,10.110,2:14.390,5,10.350,2:15.130,3,9.920,2:14.450
5,17.430,2:45.970,3,9.720,2:24.200,1,9.940,2:23.500,6,46.140,3:00.540,4,11.280,2:26.410,2,9.640,2:24.090
