Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Vitali BARADAUKA POSITION,Vitali BARADAUKA LAP TIME,Vitali BARADAUKA ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
3,9.520,9.520,2,9.140,9.140,5,9.920,9.920,6,9.970,9.970,1,9.070,9.070,4,9.600,9.600
4,12.800,22.320,3,12.900,22.040,5,13.340,23.260,6,13.840,23.820,2,12.950,22.020,1,12.410,22.010
4,11.130,33.460,5,11.580,33.630,3,9.980,33.250,6,10.060,33.880,2,11.210,33.240,1,11.210,33.230
5,11.680,45.140,6,11.610,45.240,1,11.070,44.330,4,11.190,45.080,3,11.730,44.980,2,11.350,44.580
6,11.760,56.910,4,11.480,56.730,2,11.980,56.310,3,11.520,56.600,1,11.310,56.290,5,12.160,56.750
6,11.690,1:08.610,4,11.230,1:07.970,1,11.270,1:07.580,5,11.970,1:08.580,3,11.390,1:07.690,2,10.920,1:07.670
4,9.930,1:18.540,5,10.580,1:18.550,1,10.450,1:18.040,6,10.450,1:19.030,3,10.720,1:18.420,2,10.710,1:18.390
3,9.730,1:28.280,4,10.010,1:28.560,5,10.580,1:28.630,6,9.810,1:28.840,2,9.680,1:28.100,1,9.710,1:28.100
1,9.020,1:37.300,6,10.140,1:38.710,3,9.400,1:38.030,2,8.610,1:37.450,5,9.970,1:38.080,4,9.960,1:38.070
1,10.080,1:47.390,6,10.570,1:49.290,4,10.150,1:48.180,2,10.430,1:47.890,5,10.410,1:48.490,3,10.070,1:48.150
1,9.800,1:57.190,6,10.730,2:00.020,5,10.280,1:58.470,3,10.130,1:58.030,4,9.890,1:58.390,2,9.690,1:57.840
1,9.950,2:07.150,6,11.360,2:11.390,4,9.330,2:07.810,3,9.540,2:07.580,5,9.890,2:08.290,2,9.330,2:07.180
1,9.420,2:16.570,6,11.890,2:23.290,5,10.860,2:18.680,3,10.250,2:17.830,4,10.330,2:18.620,2,10.590,2:17.770
1,9.690,2:26.270,6,12.290,2:35.580,4,10.150,2:28.840,2,9.280,2:27.110,5,11.680,2:30.300,3,10.620,2:28.390
