KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
3,8.84,8.84,2,8.80,8.80,4,9.04,9.04,5,9.30,9.30,7,9.43,9.43,6,9.41,9.41,1,8.65,8.65
3,13.04,21.88,4,13.08,21.88,5,12.97,22.01,2,12.54,21.85,7,12.79,22.23,6,12.63,22.05,1,13.14,21.79
4,11.36,33.25,3,11.30,33.19,6,11.37,33.39,7,11.62,33.47,1,10.74,32.97,5,11.32,33.38,2,11.20,32.99
5,10.90,44.15,4,10.89,44.08,1,10.56,43.95,7,10.92,44.40,6,11.19,44.16,3,10.69,44.07,2,10.99,43.99
5,10.29,54.44,6,10.36,54.45,1,10.04,54.00,7,10.10,54.51,2,10.09,54.26,4,10.36,54.43,3,10.29,54.28
6,10.15,1:04.60,2,9.75,1:04.20,1,10.09,1:04.09,7,10.17,1:04.68,4,10.20,1:04.46,3,9.95,1:04.39,5,10.22,1:04.50
4,10.78,1:15.38,5,11.27,1:15.48,1,10.85,1:14.95,7,10.85,1:15.54,2,10.68,1:15.15,6,11.09,1:15.48,3,10.76,1:15.27
7,11.00,1:26.39,3,10.53,1:26.02,1,10.95,1:25.90,6,10.84,1:26.38,4,10.92,1:26.07,5,10.67,1:26.16,2,10.74,1:26.01
6,10.47,1:36.86,4,10.71,1:36.73,1,10.22,1:36.13,5,10.46,1:36.85,3,10.62,1:36.69,7,10.76,1:36.92,2,10.26,1:36.28
6,10.34,1:47.21,2,9.97,1:46.70,1,10.34,1:46.48,5,10.28,1:47.13,4,10.09,1:46.79,7,10.29,1:47.21,3,10.44,1:46.72
5,9.92,1:57.14,2,10.25,1:56.95,1,10.21,1:56.70,7,10.18,1:57.32,4,10.17,1:56.97,6,10.04,1:57.26,3,10.22,1:56.95
3,9.41,2:06.56,4,9.69,2:06.65,2,9.59,2:06.29,5,9.35,2:06.67,1,9.25,2:06.22,7,24.39,2:21.65,6,9.73,2:06.69
2,9.42,2:15.98,6,9.71,2:16.36,3,9.73,2:16.03,5,9.67,2:16.35,1,9.15,2:15.37,7,37.75,2:59.40,4,9.64,2:16.33
2,9.69,2:25.662,5,10.44,2:26.792,3,9.75,2:25.776,6,10.86,2:27.206,1,9.85,2:25.213,7,18.56,3:17.955,4,10.12,2:26.446
