START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
5,8.39,8.39,1,7.93,7.93,4,8.27,8.27,3,8.21,8.21,7,9.94,9.94,6,9.22,9.22,2,8.06,8.06,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
4,11.16,19.56,3,11.52,19.46,2,11.04,19.32,5,11.38,19.60,7,9.92,19.87,1,9.76,18.99,6,11.65,19.72,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
6,11.33,30.89,2,10.99,30.45,4,11.20,30.53,5,11.07,30.67,3,10.62,30.49,1,11.38,30.37,7,11.28,31.01,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
6,10.16,41.05,2,10.23,40.69,5,10.50,41.03,4,10.21,40.89,3,10.34,40.83,1,10.28,40.65,7,10.17,41.18,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
5,9.82,50.88,3,9.89,50.58,6,9.90,50.93,1,9.53,50.43,4,9.81,50.65,2,9.88,50.54,7,9.88,51.07,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
6,9.74,1:00.62,4,9.79,1:00.38,5,9.58,1:00.52,2,9.74,1:00.17,3,9.71,1:00.37,1,9.57,1:00.12,7,9.58,1:00.65,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
6,9.39,1:10.01,5,9.60,1:09.99,2,9.25,1:09.77,3,9.59,1:09.77,4,9.49,1:09.86,1,9.52,1:09.65,7,9.43,1:10.09,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
5,9.28,1:19.30,3,9.19,1:19.19,2,9.41,1:19.19,4,9.52,1:19.29,7,9.68,1:19.55,1,9.44,1:19.09,6,9.45,1:19.54,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
5,9.60,1:28.91,1,9.36,1:28.55,2,9.37,1:28.57,3,9.38,1:28.67,7,9.52,1:29.08,4,9.65,1:28.74,6,9.46,1:29.00,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
4,9.34,1:38.26,3,9.62,1:38.17,2,9.59,1:38.16,1,9.47,1:38.14,7,9.62,1:38.70,6,9.89,1:38.64,5,9.48,1:38.49,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
3,9.39,1:47.65,1,9.38,1:47.56,2,9.44,1:47.61,4,9.62,1:47.77,6,9.31,1:48.01,7,9.91,1:48.55,5,9.39,1:47.89,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
1,9.25,1:56.90,2,9.36,1:56.92,3,9.41,1:57.02,4,9.34,1:57.11,6,9.37,1:57.39,7,10.34,1:58.90,5,9.29,1:57.18,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
1,9.36,2:06.27,2,9.35,2:06.27,3,9.45,2:06.47,4,9.39,2:06.51,6,9.36,2:06.75,7,12.28,2:11.18,5,9.45,2:06.64,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
2,9.65,2:15.920,1,9.56,2:15.826,3,9.60,2:16.064,0,,DQ,5,9.77,2:16.517,6,9.74,2:20.914,4,9.50,2:16.132,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Semifinals,3
