Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,WILLIAMS Corey POSITION,WILLIAMS Corey LAP TIME,WILLIAMS Corey ELAPSED TIME
3,10.69,10.69,4,10.85,10.85,2,10.51,10.51,1,10.41,10.41
4,15.22,25.91,3,15.00,25.86,2,15.05,25.57,1,15.12,25.54
4,14.54,40.46,3,14.58,40.44,2,14.65,40.22,1,14.57,40.12
4,13.57,54.03,3,13.52,53.97,2,13.48,53.70,1,13.47,53.60
4,12.33,1:06.37,3,12.26,1:06.23,2,12.53,1:06.23,1,12.55,1:06.15
4,11.49,1:17.86,1,11.10,1:17.33,2,11.20,1:17.44,3,11.61,1:17.76
4,10.24,1:28.11,1,10.41,1:27.75,2,10.49,1:27.94,3,10.25,1:28.02
4,9.76,1:37.87,1,9.82,1:37.57,2,9.71,1:37.65,3,9.69,1:37.72
4,9.64,1:47.51,1,9.44,1:47.02,2,9.57,1:47.23,3,9.73,1:47.45
3,9.34,1:56.86,1,9.49,1:56.51,2,9.42,1:56.65,4,9.54,1:56.99
3,9.31,2:06.17,1,9.36,2:05.88,2,9.32,2:05.97,4,9.74,2:06.74
3,9.34,2:15.51,1,9.42,2:15.30,2,9.36,2:15.34,4,10.26,2:17.00
3,9.56,2:25.08,1,9.40,2:24.70,2,9.58,2:24.92,4,11.07,2:28.08
3,11.01,2:36.084,1,10.10,2:34.791,2,10.08,2:34.998,4,12.26,2:40.338
