Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
3,8.53,8.53,4,8.77,8.77,5,8.98,8.98,2,8.52,8.52,1,8.47,8.47,6,9.04,9.04
2,12.17,20.71,3,12.01,20.79,5,12.07,21.05,4,12.32,20.85,1,12.17,20.65,6,12.25,21.30
1,10.50,31.21,4,10.73,31.52,5,10.51,31.57,3,10.59,31.45,2,10.56,31.21,6,10.45,31.75
4,10.97,42.19,1,10.63,42.16,5,10.81,42.38,3,10.73,42.19,2,10.94,42.16,6,10.82,42.58
4,9.96,52.15,2,9.91,52.08,3,9.70,52.08,1,9.45,51.65,5,10.04,52.21,6,9.83,52.41
3,9.48,1:01.64,2,9.51,1:01.59,5,9.72,1:01.81,1,9.83,1:01.48,4,9.47,1:01.68,6,9.65,1:02.06
1,9.46,1:11.10,3,9.59,1:11.19,5,9.55,1:11.37,4,9.75,1:11.24,2,9.49,1:11.17,6,9.37,1:11.43
2,9.13,1:20.23,4,9.27,1:20.47,5,9.35,1:20.72,1,8.84,1:20.08,3,9.20,1:20.38,6,9.35,1:20.79
5,9.86,1:30.10,3,9.27,1:29.74,4,9.35,1:30.08,1,9.54,1:29.63,2,9.26,1:29.64,6,9.34,1:30.14
2,9.03,1:39.13,3,9.43,1:39.18,5,9.41,1:39.50,1,9.43,1:39.06,4,9.58,1:39.23,6,9.58,1:39.72
3,9.28,1:48.41,4,9.23,1:48.41,5,9.22,1:48.72,1,9.15,1:48.22,2,9.15,1:48.39,6,9.17,1:48.89
4,9.63,1:58.05,2,9.29,1:57.71,6,9.62,1:58.35,1,9.29,1:57.51,3,9.41,1:57.80,5,9.32,1:58.21
5,9.44,2:07.49,3,9.41,2:07.12,4,8.92,2:07.27,1,9.31,2:06.83,2,9.22,2:07.03,6,9.43,2:07.65
5,9.58,2:17.069,1,9.36,2:16.476,4,9.57,2:16.839,2,9.68,2:16.507,6,10.07,2:17.091,3,9.01,2:16.655
