START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,12.03,12.03,3,12.08,12.08,4,12.35,12.35,1,11.58,11.58,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
3,9.03,21.07,2,8.89,20.98,4,8.91,21.26,1,9.06,20.64,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
3,9.22,30.29,2,9.19,30.17,4,9.04,30.30,1,9.40,30.04,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
3,9.01,39.31,2,9.02,39.20,4,9.04,39.34,1,8.93,38.98,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
2,9.06,48.37,3,9.17,48.37,4,9.16,48.51,1,9.10,48.08,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
2,9.24,57.62,3,9.32,57.69,4,9.22,57.73,1,9.24,57.32,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
2,9.05,1:06.67,3,8.97,1:06.67,4,9.06,1:06.80,1,9.13,1:06.45,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
2,9.01,1:15.69,3,9.07,1:15.75,4,9.43,1:16.23,1,9.13,1:15.59,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
4,9.70,1:25.39,3,9.40,1:25.15,2,8.91,1:25.15,1,9.25,1:24.84,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
2,8.93,1:34.32,3,9.20,1:34.36,4,9.35,1:34.50,1,9.25,1:34.10,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
3,9.53,1:43.86,2,9.18,1:43.55,4,9.64,1:44.14,1,9.09,1:43.19,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
4,10.28,1:54.14,2,9.17,1:52.73,3,8.93,1:53.08,1,9.27,1:52.46,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
4,10.73,2:04.88,2,8.91,2:01.65,3,8.70,2:01.79,1,8.92,2:01.39,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",5000mRelay,m,Semifinals,1
