Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,8.53,8.53,4,8.79,8.79,5,8.94,8.94,3,8.76,8.76,6,9.12,9.12,1,8.36,8.36
3,12.71,21.24,6,12.89,21.68,2,12.27,21.21,5,12.79,21.55,4,12.12,21.24,1,12.72,21.08
4,10.94,32.18,5,10.79,32.47,3,10.97,32.18,6,10.94,32.49,1,10.57,31.81,2,10.78,31.86
4,10.78,42.96,5,10.61,43.08,3,10.72,42.90,6,10.78,43.27,1,10.77,42.58,2,10.90,42.76
5,10.78,53.74,2,10.34,53.42,4,10.74,53.64,6,10.73,54.00,3,10.95,53.53,1,10.56,53.32
5,9.87,1:03.61,1,9.73,1:03.15,4,9.85,1:03.49,6,9.97,1:03.97,3,9.90,1:03.43,2,10.00,1:03.32
5,10.36,1:13.97,1,10.46,1:13.61,4,10.47,1:13.96,6,10.21,1:14.18,3,10.40,1:13.83,2,10.42,1:13.74
4,10.73,1:24.70,1,10.74,1:24.35,5,10.76,1:24.72,6,10.72,1:24.90,3,10.69,1:24.52,2,10.74,1:24.48
5,10.05,1:34.75,3,10.27,1:34.62,4,10.01,1:34.73,6,10.19,1:35.09,2,10.01,1:34.53,1,10.02,1:34.50
3,9.84,1:44.59,4,10.04,1:44.66,5,10.15,1:44.88,6,9.92,1:45.01,1,9.89,1:44.42,2,9.97,1:44.47
1,9.90,1:54.49,4,10.09,1:54.75,5,9.90,1:54.78,6,10.08,1:55.09,2,10.08,1:54.50,3,10.06,1:54.53
1,9.97,2:04.46,4,10.13,2:04.88,5,10.29,2:05.07,6,10.13,2:05.22,2,10.03,2:04.53,3,10.01,2:04.54
1,10.26,2:14.72,4,10.24,2:15.12,6,10.46,2:15.53,5,10.12,2:15.34,2,10.34,2:14.87,3,10.34,2:14.88
2,10.70,2:25.414,4,10.63,2:25.745,6,10.29,2:25.819,5,10.44,2:25.776,1,10.43,2:25.291,3,10.68,2:25.554
