LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,8.77,8.77,5,9.39,9.39,2,8.97,8.97,3,9.10,9.10,4,9.12,9.12,6,9.56,9.56
1,11.74,20.51,5,11.57,20.96,4,11.85,20.82,2,11.51,20.61,3,11.64,20.76,6,11.76,21.32
4,11.51,32.02,5,11.14,32.10,2,11.04,31.86,1,11.11,31.72,3,11.13,31.89,6,10.97,32.29
4,10.89,42.91,5,10.97,43.07,3,11.01,42.87,1,10.87,42.59,2,10.97,42.86,6,10.93,43.22
5,10.06,52.97,4,9.84,52.91,3,9.97,52.84,1,10.05,52.64,2,9.98,52.84,6,10.12,53.34
4,9.05,1:02.02,3,9.08,1:01.99,5,9.24,1:02.08,2,9.19,1:01.83,1,8.97,1:01.81,6,9.03,1:02.37
3,9.20,1:11.22,4,9.27,1:11.26,5,9.20,1:11.28,1,9.22,1:11.05,2,9.25,1:11.06,6,9.21,1:11.58
4,9.39,1:20.61,3,9.30,1:20.56,5,9.39,1:20.67,2,9.44,1:20.49,1,9.37,1:20.43,6,9.20,1:20.78
4,9.03,1:29.64,5,9.16,1:29.72,2,8.83,1:29.50,3,9.05,1:29.54,1,8.90,1:29.33,6,9.07,1:29.85
4,9.01,1:38.65,5,9.02,1:38.74,2,9.06,1:38.56,3,9.05,1:38.59,1,9.15,1:38.48,6,9.08,1:38.93
4,9.11,1:47.76,6,9.11,1:47.85,3,9.13,1:47.69,2,9.06,1:47.65,1,9.10,1:47.58,5,8.91,1:47.84
3,8.88,1:56.64,6,9.02,1:56.87,2,8.93,1:56.62,5,9.01,1:56.66,1,8.90,1:56.48,4,8.80,1:56.64
2,8.89,2:05.53,6,8.97,2:05.84,3,9.04,2:05.66,5,9.08,2:05.74,1,8.84,2:05.32,4,9.09,2:05.73
6,10.04,2:15.567,5,9.57,2:15.410,2,9.15,2:14.802,4,9.37,2:15.109,1,9.40,2:14.718,3,9.16,2:14.891
