Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,8.21,8.21,2,8.58,8.58,3,8.67,8.67,5,8.83,8.83,6,8.94,8.94,4,8.74,8.74
1,12.33,20.54,3,12.46,21.04,5,12.47,21.14,4,12.27,21.10,6,12.36,21.30,2,12.24,20.98
1,11.06,31.60,5,11.00,32.04,3,10.75,31.89,4,10.92,32.02,6,10.82,32.12,2,10.84,31.82
1,11.49,43.09,3,11.31,43.35,5,11.62,43.51,4,11.44,43.46,6,11.59,43.71,2,11.35,43.17
1,11.01,54.10,2,10.76,54.11,3,10.66,54.17,5,10.88,54.34,6,10.79,54.50,4,11.13,54.30
2,10.42,1:04.52,1,10.35,1:04.46,4,10.39,1:04.56,3,10.19,1:04.53,6,10.25,1:04.75,5,10.28,1:04.58
1,9.79,1:14.31,2,10.26,1:14.72,3,10.19,1:14.75,4,10.33,1:14.86,6,10.32,1:15.07,5,10.35,1:14.93
1,9.95,1:24.26,3,9.93,1:24.65,2,9.86,1:24.61,5,9.89,1:24.75,6,9.77,1:24.84,4,9.80,1:24.73
1,9.77,1:34.03,3,9.71,1:34.36,4,9.79,1:34.40,5,9.73,1:34.48,2,9.49,1:34.33,6,9.76,1:34.49
2,9.40,1:43.43,3,9.24,1:43.60,4,9.41,1:43.81,5,9.55,1:44.03,1,9.06,1:43.39,6,9.58,1:44.07
2,10.04,1:53.47,3,10.12,1:53.72,6,10.15,1:53.96,4,9.84,1:53.87,1,10.00,1:53.39,5,9.82,1:53.89
1,9.70,2:03.17,3,9.84,2:03.56,6,10.01,2:03.97,5,9.97,2:03.84,2,9.78,2:03.17,4,9.81,2:03.70
6,28.43,2:31.60,2,10.13,2:13.69,4,9.90,2:13.87,3,9.95,2:13.79,1,10.07,2:13.24,5,10.20,2:13.90
6,15.21,2:46.810,2,10.09,2:23.780,4,10.10,2:23.966,5,10.29,2:24.073,1,10.16,2:23.392,3,10.00,2:23.897
