Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME
1,8.77,8.77,2,8.93,8.93,3,9.09,9.09,5,9.35,9.35,6,9.42,9.42,7,9.52,9.52,4,9.21,9.21
1,13.06,21.83,2,12.97,21.90,3,12.83,21.92,5,12.88,22.23,7,12.97,22.39,6,12.74,22.26,4,12.78,21.99
1,11.26,33.09,6,11.80,33.70,2,11.18,33.10,5,11.26,33.49,7,11.38,33.77,4,11.16,33.42,3,11.33,33.32
1,10.83,43.92,6,10.78,44.48,2,10.93,44.03,5,10.86,44.35,7,10.80,44.57,4,10.81,44.23,3,10.83,44.15
1,11.06,54.98,6,11.16,55.64,2,10.96,54.99,5,11.11,55.46,7,11.17,55.74,4,11.09,55.32,3,10.99,55.14
2,10.59,1:05.57,6,10.40,1:06.04,1,10.47,1:05.46,5,10.42,1:05.88,7,10.39,1:06.13,4,10.46,1:05.78,3,10.52,1:05.66
2,11.05,1:16.62,7,11.01,1:17.05,1,11.01,1:16.47,5,11.06,1:16.94,6,10.87,1:17.00,4,11.08,1:16.86,3,11.07,1:16.73
3,10.28,1:26.90,7,10.28,1:27.33,2,10.35,1:26.82,6,10.27,1:27.21,1,9.75,1:26.75,5,10.27,1:27.13,4,10.27,1:27.00
3,10.03,1:36.93,7,9.98,1:37.31,2,10.01,1:36.83,6,9.93,1:37.14,1,9.98,1:36.73,5,9.99,1:37.12,4,10.01,1:37.01
4,9.99,1:46.92,6,9.79,1:47.10,2,9.92,1:46.75,3,9.76,1:46.90,1,9.79,1:46.52,7,10.10,1:47.22,5,10.02,1:47.03
4,9.71,1:56.63,6,9.69,1:56.79,3,9.79,1:56.54,2,9.54,1:56.44,1,9.78,1:56.30,7,9.85,1:57.07,5,9.73,1:56.76
4,9.75,2:06.38,3,9.58,2:06.37,6,10.05,2:06.59,2,9.82,2:06.26,1,9.67,2:05.97,7,10.05,2:07.12,5,9.81,2:06.57
4,9.94,2:16.32,3,9.83,2:16.20,6,10.12,2:16.71,2,9.89,2:16.15,1,9.95,2:15.92,7,10.51,2:17.63,5,9.86,2:16.43
2,10.33,2:26.641,4,10.56,2:26.759,6,10.61,2:27.312,5,10.97,2:27.117,1,10.32,2:26.231,7,10.91,2:28.532,3,10.29,2:26.720
