Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME
1,8.81,8.81,2,8.83,8.83,3,8.92,8.92,6,9.28,9.28,5,9.04,9.04,4,8.93,8.93
2,12.47,21.28,1,12.27,21.10,4,12.67,21.59,6,12.66,21.94,5,12.73,21.77,3,12.52,21.45
2,11.19,32.47,1,11.27,32.37,3,11.00,32.59,6,10.90,32.84,5,10.96,32.73,4,11.15,32.60
2,10.89,43.36,1,10.88,43.25,6,11.26,43.85,5,10.93,43.77,4,10.93,43.66,3,10.95,43.55
2,10.64,54.00,1,10.65,53.90,5,10.52,54.37,6,10.61,54.38,4,10.60,54.26,3,10.61,54.16
2,11.04,1:05.04,1,11.06,1:04.96,5,11.11,1:05.48,6,11.21,1:05.59,4,11.12,1:05.38,3,11.05,1:05.21
3,10.81,1:15.85,1,10.76,1:15.72,5,10.71,1:16.19,6,10.76,1:16.35,4,10.68,1:16.06,2,10.63,1:15.84
3,9.96,1:25.81,2,10.03,1:25.75,5,9.85,1:26.04,6,9.79,1:26.14,4,9.90,1:25.96,1,9.84,1:25.68
1,9.64,1:35.45,3,9.82,1:35.57,5,9.77,1:35.81,6,9.84,1:35.98,4,9.73,1:35.69,2,9.79,1:35.47
1,9.74,1:45.19,3,9.85,1:45.42,5,9.81,1:45.62,6,9.75,1:45.73,4,9.81,1:45.50,2,9.84,1:45.31
1,9.96,1:55.15,3,9.98,1:55.40,5,10.08,1:55.70,6,10.09,1:55.82,4,10.02,1:55.52,2,9.98,1:55.29
1,9.56,2:04.71,3,9.67,2:05.07,5,9.70,2:05.40,6,9.90,2:05.72,4,9.69,2:05.21,2,9.70,2:04.99
1,9.65,2:14.36,3,9.63,2:14.70,5,9.99,2:15.39,6,10.62,2:16.34,4,9.96,2:15.17,2,9.44,2:14.43
2,9.53,2:23.891,3,9.33,2:24.021,4,10.03,2:25.417,6,11.11,2:27.340,5,10.27,2:25.435,1,9.35,2:23.776
