GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME
3,13.26,13.26,4,13.38,13.38,2,13.17,13.17,1,13.07,13.07
3,10.23,23.49,4,10.20,23.58,2,10.13,23.30,1,10.08,23.15
2,9.43,32.92,3,9.43,33.01,4,9.72,33.02,1,9.62,32.77
3,9.69,42.61,4,9.69,42.70,1,9.20,42.22,2,9.47,42.24
3,9.40,52.01,4,9.55,52.25,2,9.57,51.79,1,9.33,51.57
3,9.21,1:01.22,4,9.13,1:01.38,2,9.24,1:01.03,1,9.46,1:01.03
3,10.03,1:11.25,4,9.98,1:11.36,1,9.99,1:11.02,2,10.12,1:11.15
4,9.77,1:21.02,3,9.54,1:20.90,1,9.69,1:20.71,2,9.67,1:20.82
4,9.65,1:30.67,3,9.60,1:30.50,1,9.58,1:30.29,2,9.58,1:30.40
4,9.48,1:40.15,3,9.24,1:39.74,1,8.96,1:39.25,2,9.21,1:39.61
4,9.06,1:49.21,3,9.10,1:48.84,1,8.99,1:48.24,2,9.05,1:48.66
4,8.94,1:58.15,3,9.00,1:57.84,1,8.97,1:57.21,2,9.00,1:57.66
4,8.97,2:07.12,3,9.04,2:06.88,1,9.04,2:06.25,2,9.18,2:06.84
4,9.24,2:16.36,3,9.28,2:16.16,1,9.06,2:15.31,2,9.25,2:16.09
4,9.01,2:25.37,3,9.10,2:25.26,1,9.22,2:24.53,2,9.09,2:25.18
4,9.28,2:34.65,3,9.15,2:34.41,1,9.02,2:33.55,2,9.14,2:34.32
4,9.14,2:43.79,3,9.28,2:43.69,1,9.19,2:42.74,2,9.19,2:43.51
4,9.17,2:52.96,3,9.03,2:52.72,1,9.10,2:51.84,2,9.08,2:52.59
4,9.27,3:02.23,3,9.20,3:01.92,1,9.06,3:00.90,2,9.24,3:01.83
4,9.27,3:11.50,3,9.24,3:11.16,1,9.18,3:10.08,2,9.23,3:11.06
4,8.98,3:20.48,3,9.21,3:20.37,1,9.17,3:19.25,2,9.20,3:20.26
4,9.44,3:29.92,3,9.24,3:29.61,1,8.65,3:27.90,2,9.25,3:29.51
4,9.19,3:39.11,3,9.30,3:38.91,1,9.78,3:37.68,2,9.23,3:38.74
4,9.09,3:48.20,3,9.10,3:48.01,1,9.15,3:46.83,2,9.17,3:47.91
4,9.32,3:57.52,3,9.25,3:57.26,1,9.15,3:55.98,2,9.29,3:57.20
4,9.19,4:06.71,3,9.29,4:06.55,1,9.13,4:05.11,2,9.28,4:06.48
3,9.25,4:15.96,4,9.44,4:15.99,1,9.32,4:14.43,2,9.30,4:15.78
4,9.49,4:25.45,2,9.04,4:25.03,1,8.70,4:23.13,3,9.45,4:25.23
4,9.21,4:34.66,2,9.34,4:34.37,1,10.11,4:33.24,3,9.33,4:34.56
4,9.33,4:43.99,2,9.37,4:43.74,1,9.16,4:42.40,3,9.26,4:43.82
4,9.26,4:53.25,3,9.39,4:53.13,1,8.77,4:51.17,2,9.00,4:52.82
4,9.27,5:02.52,3,9.29,5:02.42,1,9.73,5:00.90,2,9.53,5:02.35
4,9.46,5:11.98,3,9.36,5:11.78,1,9.29,5:10.19,2,9.35,5:11.70
4,9.56,5:21.54,3,9.43,5:21.21,1,9.19,5:19.38,2,9.42,5:21.12
4,9.26,5:30.80,3,9.53,5:30.74,1,9.41,5:28.79,2,9.45,5:30.57
3,9.14,5:39.94,4,9.34,5:40.08,1,9.27,5:38.06,2,9.33,5:39.90
2,9.34,5:49.28,4,9.46,5:49.54,1,9.17,5:47.23,3,9.61,5:49.51
2,9.21,5:58.49,3,9.10,5:58.64,1,9.11,5:56.34,4,9.55,5:59.06
2,8.76,6:07.25,3,8.85,6:07.49,1,9.20,6:05.54,4,9.07,6:08.13
2,9.30,6:16.55,3,9.11,6:16.60,1,9.26,6:14.80,4,9.37,6:17.50
2,8.78,6:25.33,3,9.68,6:26.28,1,9.58,6:24.38,4,9.42,6:26.92
2,9.68,6:35.01,3,9.40,6:35.68,1,9.40,6:33.78,4,9.27,6:36.19
2,9.19,6:44.20,3,9.55,6:45.23,1,9.10,6:42.88,4,9.34,6:45.53
2,9.06,6:53.26,3,9.32,6:54.55,1,9.07,6:51.95,4,10.01,6:55.54
2,9.59,7:02.848,4,10.03,7:04.576,1,9.21,7:01.154,3,8.66,7:04.196
