Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
2,11.11,11.11,6,11.47,11.47,5,11.43,11.43,3,11.25,11.25,1,10.90,10.90,4,11.30,11.30
2,13.90,25.01,5,13.83,25.30,6,13.96,25.39,3,13.84,25.09,1,13.97,24.87,4,13.91,25.21
2,13.51,38.52,4,13.43,38.73,6,13.66,39.05,3,13.54,38.63,1,13.54,38.41,5,13.59,38.80
2,13.36,51.88,3,13.24,51.97,6,13.30,52.35,4,13.39,52.02,1,13.33,51.74,5,13.35,52.15
4,12.87,1:04.75,5,12.89,1:04.86,6,12.76,1:05.11,2,12.46,1:04.48,1,12.64,1:04.38,3,12.48,1:04.63
3,11.43,1:16.18,5,11.48,1:16.34,6,11.36,1:16.47,2,11.68,1:16.16,1,11.68,1:16.06,4,11.67,1:16.30
3,10.88,1:27.06,2,10.70,1:27.04,6,11.20,1:27.67,4,10.95,1:27.11,1,10.92,1:26.98,5,11.06,1:27.36
2,10.20,1:37.26,3,10.29,1:37.33,6,10.11,1:37.78,5,10.29,1:37.40,1,10.14,1:37.12,4,10.00,1:37.36
2,9.63,1:46.89,3,9.70,1:47.03,6,9.81,1:47.59,1,9.39,1:46.79,4,9.98,1:47.10,5,9.94,1:47.30
2,9.61,1:56.50,3,9.56,1:56.59,6,10.07,1:57.66,1,9.60,1:56.39,5,9.84,1:56.94,4,9.37,1:56.67
2,9.79,2:06.29,4,9.79,2:06.38,6,10.37,2:08.03,1,9.80,2:06.19,5,9.84,2:06.78,3,9.68,2:06.35
1,9.59,2:15.88,4,9.81,2:16.19,6,10.91,2:18.94,2,9.82,2:16.01,5,10.17,2:16.95,3,9.72,2:16.07
1,9.43,2:25.31,4,9.77,2:25.96,6,11.61,2:30.55,2,9.71,2:25.72,5,10.85,2:27.80,3,9.78,2:25.85
1,9.74,2:35.043,0,,PEN,5,12.00,2:42.548,2,9.98,2:35.696,4,11.51,2:39.302,3,10.15,2:35.999
