CHINESE TAIPEI POSITION,CHINESE TAIPEI LAP TIME,CHINESE TAIPEI ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
4,13.08,13.08,2,12.68,12.68,3,12.84,12.84,1,12.26,12.26
4,9.54,22.62,2,9.16,21.84,3,9.64,22.48,1,9.22,21.48
4,9.78,32.40,2,9.51,31.35,3,9.60,32.08,1,9.19,30.67
4,10.56,42.96,2,9.65,41.00,3,9.52,41.60,1,9.34,40.01
4,14.70,57.66,2,9.58,50.58,3,9.45,51.05,1,9.64,49.65
4,9.54,1:07.20,2,9.53,1:00.11,3,10.13,1:01.18,1,9.46,59.11
4,10.66,1:17.86,2,9.23,1:09.34,3,9.81,1:10.99,1,9.32,1:08.43
4,10.18,1:28.04,2,9.32,1:18.66,3,9.55,1:20.54,1,9.36,1:17.79
4,9.96,1:38.00,2,10.40,1:29.06,3,9.86,1:30.40,1,9.20,1:26.99
4,10.13,1:48.13,2,10.17,1:39.23,3,9.75,1:40.15,1,9.51,1:36.50
4,9.82,1:57.95,2,9.10,1:48.33,3,16.17,1:56.32,1,9.73,1:46.23
4,10.25,2:08.20,2,9.56,1:57.89,3,10.62,2:06.94,1,10.09,1:56.32
4,10.04,2:18.24,2,9.38,2:07.27,3,9.84,2:16.78,1,9.60,2:05.92
4,9.62,2:27.86,2,9.52,2:16.79,3,9.89,2:26.67,1,9.68,2:15.60
4,10.20,2:38.06,2,9.64,2:26.43,3,10.00,2:36.67,1,9.39,2:24.99
4,10.15,2:48.21,2,9.98,2:36.41,3,10.26,2:46.93,1,9.70,2:34.69
4,9.91,2:58.12,2,9.81,2:46.22,3,10.15,2:57.08,1,9.58,2:44.27
4,10.27,3:08.39,2,9.82,2:56.04,3,10.16,3:07.24,1,9.57,2:53.84
4,10.01,3:18.40,2,9.20,3:05.24,3,9.64,3:16.88,1,9.62,3:03.46
4,9.70,3:28.10,2,9.42,3:14.66,3,9.66,3:26.54,1,9.70,3:13.16
4,10.18,3:38.28,2,9.79,3:24.45,3,10.23,3:36.77,1,9.88,3:23.04
4,10.32,3:48.60,2,10.34,3:34.79,3,10.43,3:47.20,1,9.94,3:32.98
4,10.08,3:58.68,2,10.26,3:45.05,3,10.21,3:57.41,1,9.98,3:42.96
4,10.47,4:09.15,2,10.69,3:55.74,3,10.35,4:07.76,1,9.78,3:52.74
4,10.49,4:19.64,2,8.59,4:04.33,3,9.86,4:17.62,1,9.86,4:02.60
4,9.93,4:29.57,2,10.18,4:14.51,3,10.04,4:27.66,1,10.88,4:13.48
4,10.21,4:39.772,2,9.13,4:23.633,3,10.22,4:37.881,1,9.59,4:23.062
