START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,9.94,9.94,1,9.62,9.62,4,10.09,10.09,5,10.28,10.28,7,10.59,10.59,2,9.76,9.76,6,10.39,10.39,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
3,13.72,23.66,1,13.78,23.40,4,13.68,23.77,5,13.63,23.91,7,13.51,24.10,2,13.77,23.53,6,13.56,23.95,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
4,11.93,35.59,2,12.03,35.43,6,11.99,35.76,5,11.76,35.67,7,11.85,35.95,1,11.86,35.39,3,11.50,35.45,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
5,10.37,45.96,4,10.41,45.84,6,10.29,46.05,2,9.94,45.61,7,10.21,46.16,3,10.23,45.62,1,10.09,45.54,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
5,10.05,56.01,4,10.03,55.87,6,10.08,56.13,1,9.99,55.60,7,10.09,56.25,3,10.17,55.79,2,10.13,55.67,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
5,10.48,1:06.49,2,10.31,1:06.18,6,10.41,1:06.54,1,10.49,1:06.09,7,10.41,1:06.66,4,10.58,1:06.37,3,10.61,1:06.28,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
6,10.32,1:16.81,4,10.39,1:16.57,1,9.77,1:16.31,3,10.41,1:16.50,7,10.22,1:16.88,5,10.33,1:16.70,2,10.08,1:16.36,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
6,9.53,1:26.34,4,9.57,1:26.14,1,9.59,1:25.90,2,9.50,1:26.00,7,9.60,1:26.48,5,9.57,1:26.27,3,9.71,1:26.07,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
5,9.37,1:35.71,4,9.44,1:35.58,1,9.42,1:35.32,2,9.44,1:35.44,6,9.32,1:35.80,7,9.55,1:35.82,3,9.44,1:35.51,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
5,9.22,1:44.93,3,9.29,1:44.87,2,9.46,1:44.78,4,9.46,1:44.90,6,9.31,1:45.11,7,9.43,1:45.25,1,9.21,1:44.72,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
3,8.93,1:53.86,4,9.15,1:54.02,2,9.04,1:53.82,6,9.35,1:54.25,5,9.02,1:54.13,7,9.11,1:54.36,1,9.08,1:53.80,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
2,8.90,2:02.76,4,8.93,2:02.95,3,9.00,2:02.82,6,8.84,2:03.09,5,8.90,2:03.03,7,9.04,2:03.40,1,8.90,2:02.70,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
1,8.81,2:11.57,5,9.13,2:12.08,4,9.20,2:12.02,6,9.07,2:12.16,3,8.77,2:11.80,7,8.97,2:12.37,2,9.02,2:11.72,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
1,9.07,2:20.632,4,9.31,2:21.388,7,9.76,2:21.780,5,9.27,2:21.427,2,9.04,2:20.838,6,9.34,2:21.702,3,9.63,2:21.345,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),m,Semifinals,1
