Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
1,9.31,9.31,2,9.53,9.53,4,9.79,9.79,5,10.27,10.27,3,9.70,9.70
1,13.85,23.16,2,13.73,23.26,5,13.75,23.54,3,13.12,23.39,4,13.72,23.42
3,12.82,35.98,2,12.60,35.86,5,12.63,36.17,1,12.46,35.85,4,12.62,36.04
2,11.76,47.74,1,11.80,47.66,5,11.76,47.93,4,12.00,47.85,3,11.77,47.81
3,11.93,59.67,2,11.90,59.56,5,11.96,59.89,4,11.94,59.79,1,11.75,59.56
3,11.53,1:11.20,2,11.56,1:11.12,5,11.61,1:11.50,4,11.60,1:11.39,1,11.38,1:10.94
1,11.37,1:22.57,4,11.60,1:22.72,5,11.41,1:22.91,3,11.31,1:22.70,2,11.72,1:22.66
3,10.99,1:33.56,1,10.72,1:33.44,2,10.63,1:33.54,5,11.18,1:33.88,4,10.94,1:33.60
3,10.31,1:43.87,1,10.24,1:43.68,2,10.23,1:43.77,5,10.24,1:44.12,4,10.32,1:43.92
3,10.63,1:54.50,1,10.63,1:54.31,2,10.59,1:54.36,5,10.52,1:54.64,4,10.70,1:54.62
3,10.36,2:04.86,1,10.35,2:04.66,2,10.38,2:04.74,4,10.36,2:05.00,5,10.77,2:05.39
3,10.36,2:15.22,1,10.39,2:15.05,2,10.41,2:15.15,4,10.37,2:15.37,5,11.05,2:16.44
3,10.29,2:25.51,1,10.24,2:25.29,2,10.29,2:25.44,4,10.35,2:25.72,5,11.33,2:27.77
3,10.46,2:35.961,1,10.41,2:35.697,2,10.34,2:35.776,4,10.72,2:36.440,5,11.53,2:39.296
