START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,10.47,10.47,1,10.32,10.32,4,10.87,10.87,5,11.02,11.02,3,10.59,10.59,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
2,14.27,24.74,1,14.22,24.54,4,14.38,25.25,5,14.31,25.33,3,14.28,24.87,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
2,12.65,37.39,1,12.74,37.28,4,12.61,37.86,5,12.63,37.96,3,12.63,37.50,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
1,12.04,49.43,3,12.23,49.51,5,11.98,49.84,2,11.47,49.43,4,12.07,49.57,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
2,10.83,1:00.26,4,10.98,1:00.49,5,10.82,1:00.66,1,10.73,1:00.16,3,10.79,1:00.36,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
2,11.07,1:11.33,5,11.04,1:11.53,4,10.85,1:11.51,1,11.04,1:11.20,3,10.99,1:11.35,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
3,10.09,1:21.42,5,10.20,1:21.73,4,10.06,1:21.57,1,9.93,1:21.13,2,9.88,1:21.23,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
4,9.94,1:31.36,5,9.85,1:31.58,3,9.78,1:31.35,1,10.03,1:31.16,2,10.02,1:31.25,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
4,9.81,1:41.17,5,9.82,1:41.40,1,9.43,1:40.78,2,9.77,1:40.93,3,9.76,1:41.01,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
4,9.73,1:50.90,5,9.75,1:51.15,1,9.84,1:50.62,2,9.77,1:50.70,3,9.77,1:50.78,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
4,10.07,2:00.97,5,10.00,2:01.15,1,10.03,2:00.65,2,10.04,2:00.74,3,10.03,2:00.81,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
4,10.19,2:11.16,5,10.17,2:11.32,1,10.11,2:10.76,2,10.09,2:10.83,3,10.12,2:10.93,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
4,10.59,2:21.75,5,10.57,2:21.89,1,10.08,2:20.84,2,10.09,2:20.92,3,10.09,2:21.02,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
5,11.35,2:33.098,4,10.73,2:32.618,1,10.27,2:31.104,2,10.21,2:31.125,3,10.15,2:31.163,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,1
