SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
5,8.56,8.56,1,8.16,8.16,2,8.26,8.26,4,8.43,8.43,3,8.39,8.39
5,10.81,19.37,2,10.84,19.00,3,10.83,19.09,1,10.46,18.89,4,10.81,19.20
5,10.10,29.47,2,10.12,29.12,3,10.11,29.20,1,10.04,28.93,4,10.12,29.32
5,9.72,39.19,2,9.79,38.91,3,9.80,39.00,1,9.87,38.80,4,9.76,39.08
5,9.74,48.93,2,9.83,48.74,4,9.83,48.83,1,9.83,48.63,3,9.74,48.82
5,9.51,58.44,2,9.44,58.18,4,9.51,58.34,3,9.64,58.27,1,9.27,58.09
4,9.63,1:08.07,1,9.61,1:07.79,5,9.74,1:08.08,3,9.71,1:07.98,2,9.79,1:07.88
1,8.95,1:17.02,3,9.54,1:17.33,4,9.32,1:17.40,5,9.69,1:17.67,2,9.31,1:17.19
1,9.33,1:26.35,3,9.20,1:26.53,4,9.22,1:26.62,5,9.47,1:27.14,2,9.25,1:26.44
1,9.43,1:35.78,3,9.40,1:35.93,4,9.42,1:36.04,5,9.65,1:36.79,2,9.41,1:35.85
1,9.41,1:45.19,3,9.50,1:45.43,4,9.50,1:45.54,5,9.88,1:46.67,2,9.46,1:45.31
1,9.35,1:54.54,3,9.33,1:54.76,4,9.31,1:54.85,5,10.21,1:56.88,2,9.31,1:54.62
1,9.39,2:03.93,3,9.39,2:04.15,4,9.36,2:04.21,5,10.57,2:07.45,2,9.40,2:04.02
1,9.61,2:13.533,5,29.65,2:33.798,3,11.25,2:15.456,4,10.93,2:18.372,2,9.56,2:13.571
