START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.46,9.46,1,9.29,9.29,4,9.61,9.61,5,9.83,9.83,2,9.35,9.35,6,10.28,10.28,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,14.01,23.47,1,13.95,23.24,3,13.80,23.41,5,13.86,23.69,2,13.99,23.34,6,13.97,24.25,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,11.46,34.93,2,11.47,34.71,1,11.18,34.59,5,11.36,35.05,3,11.48,34.82,6,12.89,37.14,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,10.74,45.67,3,10.88,45.59,2,10.88,45.47,5,10.76,45.81,1,10.55,45.37,6,13.05,50.19,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,10.29,55.96,1,10.03,55.62,3,10.35,55.82,5,10.28,56.09,2,10.26,55.63,6,13.20,1:03.39,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,10.09,1:06.05,1,10.21,1:05.83,3,10.18,1:06.00,5,10.08,1:06.17,2,10.27,1:05.90,6,14.91,1:18.30,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,10.28,1:16.33,1,10.21,1:16.04,3,10.23,1:16.23,5,10.28,1:16.45,2,10.22,1:16.12,6,13.93,1:32.23,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,10.68,1:27.01,1,10.70,1:26.74,3,10.68,1:26.91,5,10.72,1:27.17,2,10.69,1:26.81,6,15.36,1:47.59,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
4,10.65,1:37.66,1,10.63,1:37.37,3,10.61,1:37.52,5,10.62,1:37.79,2,10.61,1:37.42,6,14.90,2:02.49,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
5,10.71,1:48.37,1,10.55,1:47.92,3,10.60,1:48.12,4,10.46,1:48.25,2,10.58,1:48.00,6,14.42,2:16.91,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
5,10.19,1:58.56,1,10.21,1:58.13,3,10.20,1:58.32,4,10.19,1:58.44,2,10.21,1:58.21,6,15.58,2:32.49,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
5,10.01,2:08.57,1,9.98,2:08.11,3,9.99,2:08.31,4,10.01,2:08.45,2,9.99,2:08.20,6,16.05,2:48.54,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
5,9.86,2:18.43,1,9.87,2:17.98,3,9.92,2:18.23,4,9.89,2:18.34,2,9.85,2:18.05,,,,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
5,9.86,2:28.290,1,9.85,2:27.830,3,9.72,2:27.950,4,9.66,2:27.997,2,9.89,2:27.935,0,,notime,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Heats,4
