KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,8.73,8.73,1,8.41,8.41,3,8.54,8.54,6,8.90,8.90,2,8.43,8.43,5,8.87,8.87
5,11.23,19.96,2,11.30,19.71,3,11.27,19.81,4,11.04,19.94,1,11.16,19.59,6,11.11,19.98
6,11.14,31.10,1,10.84,30.55,3,10.93,30.74,4,10.90,30.84,2,11.04,30.63,5,11.01,30.99
6,11.02,42.12,1,11.01,41.56,3,11.01,41.75,4,11.03,41.87,2,11.02,41.65,5,11.00,41.99
6,10.88,53.00,1,11.14,52.70,3,11.08,52.83,5,11.07,52.94,2,11.08,52.73,4,10.88,52.87
6,9.94,1:02.94,3,9.93,1:02.63,4,9.92,1:02.75,5,9.92,1:02.86,2,9.82,1:02.55,1,9.65,1:02.52
6,9.78,1:12.72,3,9.83,1:12.46,4,9.84,1:12.59,5,9.79,1:12.65,1,9.77,1:12.32,2,9.88,1:12.40
4,9.78,1:22.50,3,9.95,1:22.41,5,9.92,1:22.51,6,9.93,1:22.58,1,9.93,1:22.25,2,9.93,1:22.33
4,9.85,1:32.35,1,9.75,1:32.16,3,9.83,1:32.34,6,19.79,1:42.37,2,9.92,1:32.17,5,10.06,1:32.39
4,10.02,1:42.37,1,9.91,1:42.07,3,9.91,1:42.25,6,23.90,2:06.27,2,9.99,1:42.16,5,10.13,1:42.52
4,10.29,1:52.66,1,10.31,1:52.38,3,10.28,1:52.53,6,13.47,2:19.74,2,10.24,1:52.40,5,10.31,1:52.83
3,10.12,2:02.78,4,10.46,2:02.84,2,10.09,2:02.62,6,11.89,2:31.63,1,10.01,2:02.41,5,10.09,2:02.92
4,10.03,2:12.81,5,10.73,2:13.57,2,10.09,2:12.71,6,11.74,2:43.37,1,10.04,2:12.45,3,9.88,2:12.80
2,10.06,2:22.864,4,11.07,2:24.640,3,10.34,2:23.042,5,12.16,2:55.523,1,10.20,2:22.641,0,,DNF
