START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.98,10.98,2,11.05,11.05,4,11.39,11.39,3,11.20,11.20,6,11.57,11.57,5,11.56,11.56,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
2,14.30,25.28,1,14.11,25.16,4,14.11,25.50,3,14.20,25.40,6,14.20,25.77,5,14.04,25.60,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
2,12.54,37.82,1,12.55,37.71,4,12.55,38.05,3,12.52,37.92,6,12.58,38.35,5,12.63,38.23,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
2,11.39,49.21,1,11.41,49.12,4,11.33,49.38,3,11.41,49.33,6,11.42,49.77,5,11.41,49.64,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
3,9.85,59.06,2,9.85,58.97,1,9.47,58.85,4,9.81,59.14,6,9.70,59.47,5,9.67,59.31,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
4,9.67,1:08.73,1,9.62,1:08.59,2,9.80,1:08.65,3,9.52,1:08.66,6,9.62,1:09.09,5,9.63,1:08.94,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
4,9.41,1:18.14,2,9.34,1:17.93,3,9.38,1:18.03,1,9.14,1:17.80,6,9.36,1:18.45,5,9.36,1:18.30,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
1,9.06,1:27.20,3,9.56,1:27.49,4,9.54,1:27.57,2,9.57,1:27.37,6,9.40,1:27.85,5,9.42,1:27.72,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
1,9.11,1:36.31,3,9.03,1:36.52,4,9.03,1:36.60,2,9.05,1:36.42,6,9.07,1:36.92,5,9.02,1:36.74,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
1,9.17,1:45.48,3,9.22,1:45.74,4,9.16,1:45.76,2,9.14,1:45.56,6,9.10,1:46.02,5,9.07,1:45.81,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
1,9.13,1:54.61,3,9.05,1:54.79,4,9.18,1:54.94,2,9.13,1:54.69,6,9.31,1:55.33,5,9.24,1:55.05,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
1,9.21,2:03.82,3,9.22,2:04.01,4,9.17,2:04.11,2,9.23,2:03.92,6,9.69,2:05.02,5,9.22,2:04.27,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
1,9.32,2:13.14,2,9.15,2:13.16,4,9.16,2:13.27,3,9.34,2:13.26,6,10.42,2:15.44,5,9.10,2:13.37,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
2,9.49,2:22.625,1,9.12,2:22.275,4,9.90,2:23.162,0,,PEN,5,11.53,2:26.967,3,9.28,2:22.646,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),m,Heats,1
