POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,12.48,12.48,3,12.95,12.95,4,13.20,13.20,2,12.67,12.67
1,9.47,21.95,3,9.31,22.26,4,9.67,22.87,2,9.42,22.09
1,9.43,31.38,3,9.28,31.54,4,9.57,32.44,2,9.35,31.44
2,9.49,40.87,3,9.47,41.01,4,9.55,41.99,1,9.34,40.78
2,9.38,50.25,3,9.37,50.38,4,9.33,51.32,1,9.40,50.18
2,9.48,59.73,3,9.51,59.89,4,10.16,1:01.48,1,9.49,59.67
2,9.40,1:09.13,3,9.44,1:09.33,4,9.61,1:11.09,1,9.33,1:09.00
2,9.34,1:18.47,3,9.32,1:18.65,4,9.56,1:20.65,1,9.38,1:18.38
2,9.55,1:28.02,3,9.43,1:28.08,4,9.64,1:30.29,1,9.46,1:27.84
3,9.50,1:37.52,2,9.27,1:37.35,4,9.57,1:39.86,1,9.36,1:37.20
3,9.31,1:46.83,2,9.32,1:46.67,4,9.82,1:49.68,1,9.37,1:46.57
3,9.34,1:56.17,2,9.35,1:56.02,4,10.03,1:59.71,1,9.30,1:55.87
3,9.22,2:05.39,2,9.24,2:05.26,4,9.69,2:09.40,1,9.23,2:05.10
3,9.18,2:14.57,2,9.22,2:14.48,4,9.64,2:19.04,1,9.27,2:14.37
3,9.41,2:23.98,2,9.37,2:23.85,4,9.59,2:28.63,1,9.35,2:23.72
3,9.28,2:33.26,2,9.24,2:33.09,4,9.67,2:38.30,1,9.25,2:32.97
3,9.21,2:42.47,2,9.13,2:42.22,4,9.76,2:48.06,1,9.15,2:42.12
3,9.10,2:51.57,2,9.21,2:51.43,4,9.33,2:57.39,1,9.18,2:51.30
3,9.18,3:00.75,2,9.21,3:00.64,4,9.52,3:06.91,1,9.19,3:00.49
3,9.16,3:09.91,2,9.15,3:09.79,4,9.55,3:16.46,1,9.19,3:09.68
3,9.37,3:19.28,2,9.43,3:19.22,4,9.69,3:26.15,1,9.45,3:19.13
3,9.29,3:28.57,2,9.07,3:28.29,4,9.63,3:35.78,1,8.99,3:28.12
3,9.06,3:37.63,2,8.82,3:37.11,4,9.74,3:45.52,1,8.91,3:37.03
3,8.95,3:46.58,2,9.07,3:46.18,4,9.38,3:54.90,1,9.00,3:46.03
3,8.81,3:55.39,2,8.89,3:55.07,4,9.94,4:04.84,1,8.91,3:54.94
3,8.88,4:04.27,2,8.95,4:04.02,4,9.69,4:14.53,1,8.95,4:03.89
3,8.82,4:13.09,2,8.92,4:12.94,4,9.63,4:24.16,1,8.94,4:12.83
3,9.13,4:22.22,2,8.96,4:21.90,4,9.69,4:33.85,1,8.94,4:21.77
3,9.11,4:31.33,2,8.89,4:30.79,4,9.65,4:43.50,1,8.90,4:30.67
3,9.08,4:40.41,2,8.89,4:39.68,4,9.22,4:52.72,1,8.91,4:39.58
3,8.92,4:49.33,2,9.12,4:48.80,4,9.77,5:02.49,1,9.12,4:48.70
3,8.87,4:58.20,2,8.93,4:57.73,4,9.70,5:12.19,1,8.94,4:57.64
3,8.83,5:07.03,2,8.74,5:06.47,4,9.69,5:21.88,1,8.73,5:06.37
3,9.31,5:16.34,1,8.81,5:15.28,4,9.78,5:31.66,2,8.99,5:15.36
3,9.33,5:25.67,1,8.72,5:24.00,4,9.69,5:41.35,2,8.88,5:24.24
3,9.27,5:34.94,1,8.80,5:32.80,4,9.94,5:51.29,2,8.82,5:33.06
3,9.07,5:44.01,1,8.83,5:41.63,4,9.78,6:01.07,2,8.88,5:41.94
3,9.13,5:53.14,1,8.90,5:50.53,4,9.76,6:10.83,2,8.74,5:50.68
3,8.95,6:02.09,1,8.68,5:59.21,4,9.82,6:20.65,2,8.72,5:59.40
3,9.30,6:11.39,1,8.41,6:07.62,4,9.84,6:30.49,2,8.97,6:08.37
3,9.38,6:20.77,1,9.07,6:16.69,4,9.81,6:40.30,2,9.10,6:17.47
3,9.34,6:30.11,1,8.84,6:25.53,4,9.38,6:49.68,2,9.21,6:26.68
3,9.09,6:39.20,1,9.07,6:34.60,4,9.70,6:59.38,2,9.56,6:36.24
3,9.01,6:48.21,1,9.07,6:43.67,4,9.59,7:08.97,2,9.83,6:46.07
3,9.48,6:57.686,1,9.18,6:52.843,4,9.78,7:18.742,2,9.99,6:56.060
