START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,12.98,12.98,1,12.88,12.88,3,13.14,13.14,4,13.28,13.28,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,10.07,23.05,1,10.07,22.95,3,10.04,23.18,4,10.08,23.36,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.82,32.87,1,9.86,32.81,3,9.78,32.96,4,9.75,33.11,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.72,42.59,1,9.68,42.49,3,9.71,42.67,4,9.68,42.79,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.58,52.17,1,9.60,52.09,4,9.73,52.40,3,9.49,52.28,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.62,1:01.79,1,9.62,1:01.71,4,9.50,1:01.90,3,9.59,1:01.87,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
4,10.11,1:11.90,1,9.87,1:11.58,2,9.77,1:11.67,3,9.91,1:11.78,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
4,9.74,1:21.64,1,9.70,1:21.28,2,9.72,1:21.39,3,9.76,1:21.54,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
4,9.43,1:31.07,1,9.51,1:30.79,2,9.51,1:30.90,3,9.45,1:30.99,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
4,9.27,1:40.34,2,9.30,1:40.09,1,9.00,1:39.90,3,9.26,1:40.25,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
4,9.38,1:49.72,1,9.31,1:49.40,2,9.66,1:49.56,3,9.39,1:49.64,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
3,9.24,1:58.96,1,9.38,1:58.78,2,9.36,1:58.92,4,9.32,1:58.96,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.03,2:07.99,1,8.93,2:07.71,3,9.45,2:08.37,4,9.53,2:08.49,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.76,2:17.75,1,9.92,2:17.63,3,9.47,2:17.84,4,9.49,2:17.98,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.21,2:26.96,1,9.25,2:26.88,3,9.25,2:27.09,4,9.21,2:27.19,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.08,2:36.04,1,9.08,2:35.96,3,9.02,2:36.11,4,9.02,2:36.21,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.15,2:45.19,1,9.13,2:45.09,3,9.18,2:45.29,4,9.21,2:45.42,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,8.95,2:54.14,1,8.96,2:54.05,3,8.94,2:54.23,4,8.85,2:54.27,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.07,3:03.21,1,9.10,3:03.15,3,9.09,3:03.32,4,9.16,3:03.43,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.13,3:12.34,1,9.08,3:12.23,3,9.15,3:12.47,4,9.17,3:12.60,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,9.01,3:21.35,1,9.03,3:21.26,3,8.96,3:21.43,4,8.93,3:21.53,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,8.87,3:30.22,1,8.69,3:29.95,3,8.87,3:30.30,4,8.86,3:30.39,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.94,3:39.16,2,9.23,3:39.18,3,9.01,3:39.31,4,9.06,3:39.45,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.78,3:47.94,2,8.88,3:48.06,3,8.85,3:48.16,4,8.80,3:48.25,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,8.85,3:56.79,1,8.45,3:56.51,3,8.79,3:56.95,4,8.76,3:57.01,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,7.95,4:04.74,2,9.33,4:05.84,3,9.05,4:06.00,4,9.09,4:06.10,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,10.06,4:14.80,2,9.05,4:14.89,4,9.19,4:15.19,3,8.96,4:15.06,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.95,4:23.75,2,8.94,4:23.83,4,8.90,4:24.09,3,8.93,4:23.99,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.95,4:32.70,2,8.97,4:32.80,4,8.91,4:33.00,3,8.91,4:32.90,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.69,4:41.39,2,8.70,4:41.50,4,8.69,4:41.69,3,8.69,4:41.59,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.60,4:49.99,2,8.59,4:50.09,4,8.71,4:50.40,3,8.60,4:50.19,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.63,4:58.62,2,8.61,4:58.70,4,8.51,4:58.91,3,8.58,4:58.77,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.58,5:07.20,2,8.51,5:07.21,4,8.56,5:07.47,3,8.56,5:07.33,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.61,5:15.81,2,8.69,5:15.90,4,8.61,5:16.08,3,8.65,5:15.98,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.74,5:24.55,2,8.74,5:24.64,4,8.85,5:24.93,3,8.80,5:24.78,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.56,5:33.11,2,8.53,5:33.17,4,8.50,5:33.43,3,8.50,5:33.28,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.57,5:41.68,2,8.57,5:41.74,4,8.69,5:42.12,3,8.59,5:41.87,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,8.62,5:50.30,1,8.48,5:50.22,4,8.46,5:50.58,3,8.57,5:50.44,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,8.44,5:58.74,1,8.48,5:58.70,4,8.43,5:59.01,3,8.43,5:58.87,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
2,8.63,6:07.37,1,8.65,6:07.35,4,8.61,6:07.62,3,8.62,6:07.49,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.73,6:16.10,4,9.24,6:16.59,3,8.82,6:16.44,2,8.77,6:16.26,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.47,6:24.57,4,8.41,6:25.00,3,8.55,6:24.99,2,8.44,6:24.70,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.50,6:33.07,3,8.35,6:33.35,4,8.61,6:33.60,2,8.46,6:33.16,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
1,8.44,6:41.51,3,8.29,6:41.64,4,8.79,6:42.39,2,8.38,6:41.54,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
3,8.36,6:49.861,2,8.22,6:49.855,4,8.98,6:51.363,1,8.24,6:49.779,2014-2015,ISU World Cup 2014/15 - Dresden (GER),5000mRelay,m,Semifinals,1
